,,Statistic,p-value
Entropy,Mean,0.6816141034537568,8.294515648797812e-11
Entropy,STD,-0.29474361049469017,0.013253215906731581
Uniformity,Mean,-0.598718413546558,4.3842965693314423e-08
Uniformity,STD,-0.5040681082492391,8.63756901966209e-06
Variance,Mean,0.7415454951567397,2.0982279565363398e-13
Variance,STD,0.7232668272802549,1.5323928633816551e-12
