,,Statistic,p-value
Entropy,CT,0.5135148748419673,5.464465079826125e-06
Uniformity,CT,-0.45019461120480153,9.216222914228736e-05
Variance,CT,0.6167614400355451,1.3070606181845485e-08
Entropy,Dose,0.6816141034537568,8.294515648797803e-11
Uniformity,Dose,-0.598718413546558,4.384296569331448e-08
Variance,Dose,0.7415454951567397,2.0982279565363428e-13
