,,Statistic,p-value
Entropy,Mean,0.5624571980985664,4.033179217829944e-07
Entropy,STD,-0.11469458496356637,0.3444290457294378
Uniformity,Mean,-0.4758850665385634,3.131468847930605e-05
Uniformity,STD,-0.4312156099923783,0.00019394078544001173
Variance,Mean,0.7125645850094927,4.568833671944071e-12
Variance,STD,0.5280565593728344,2.6278173688555896e-06
