,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6,Filter,Class,Name
wavelet-HHH_glcm_Contrast,0.5822241100977265,0.54,0.62,0.5822648038461683,0.54,0.62,0.5845994797681182,0.55,0.63,0.9827997652367988,0.98,0.99,0.9828025931394316,0.98,0.99,0.9829642029718474,0.98,0.99,Wavelet (HHH),glcm,Contrast
wavelet-HHH_glcm_Correlation,0.088849532187676,0.07,0.11,0.0897586383463742,0.07,0.11,0.0935871003909821,0.08,0.11,0.7999222196384761,0.77,0.83,0.8017052627214306,0.77,0.83,0.8089141026678764,0.78,0.84,Wavelet (HHH),glcm,Correlation
wavelet-HHH_glcm_DifferenceAverage,0.6125297541102771,0.57,0.65,0.6125706589778113,0.57,0.65,0.6152335937600656,0.58,0.65,0.9848057975572266,0.98,0.99,0.9848083763122296,0.98,0.99,0.9849755460354628,0.98,0.99,Wavelet (HHH),glcm,DifferenceAverage
wavelet-HHH_glcm_DifferenceEntropy,0.6579355288683306,0.62,0.7,0.6579602992821438,0.62,0.7,0.6599195958385868,0.62,0.7,0.9874781565509376,0.99,0.99,0.9874795174376396,0.99,0.99,0.98758684938248,0.99,0.99,Wavelet (HHH),glcm,DifferenceEntropy
wavelet-HHH_glcm_DifferenceVariance,0.579815843619515,0.54,0.62,0.5798423424292454,0.54,0.62,0.5813455012400552,0.54,0.62,0.9826317315918058,0.98,0.99,0.9826335877923466,0.98,0.99,0.9827386161065044,0.98,0.99,Wavelet (HHH),glcm,DifferenceVariance
wavelet-HHH_glcm_Id,0.7067959872162172,0.67,0.74,0.7068205503814701,0.67,0.74,0.7092566874289902,0.68,0.74,0.989983410065586,0.99,0.99,0.9899845853786934,0.99,0.99,0.990100760485102,0.99,0.99,Wavelet (HHH),glcm,Id
wavelet-HHH_glcm_Idm,0.7066843277226809,0.67,0.74,0.7067090157932802,0.67,0.74,0.7091562620957816,0.68,0.74,0.9899780663202722,0.99,0.99,0.9899792479702896,0.99,0.99,0.9900959866134648,0.99,0.99,Wavelet (HHH),glcm,Idm
wavelet-HHH_glcm_Idmn,0.5831899905485418,0.54,0.62,0.5832318873097859,0.54,0.62,0.5856454631622878,0.55,0.63,0.9828667843959612,0.98,0.99,0.9828696866529976,0.98,0.99,0.9830362066929992,0.98,0.99,Wavelet (HHH),glcm,Idmn
wavelet-HHH_glcm_Idn,0.6207102884256637,0.58,0.66,0.6207504775463831,0.58,0.66,0.6234589796881085,0.59,0.66,0.985315019817204,0.98,0.99,0.9853174896635528,0.98,0.99,0.9854832367155668,0.98,0.99,Wavelet (HHH),glcm,Idn
wavelet-HHH_glcm_Imc1,0.8771428493681512,0.86,0.89,0.8771433115753944,0.86,0.89,0.8772786302437496,0.86,0.89,0.9965954075145111,1.0,1.0,0.9965954220674188,1.0,1.0,0.9965996820260752,1.0,1.0,Wavelet (HHH),glcm,Imc1
wavelet-HHH_glcm_Imc2,0.9282251115130136,0.92,0.94,0.9282256596276884,0.92,0.94,0.9285163778997424,0.92,0.94,0.9981175776943952,1.0,1.0,0.9981175931520678,1.0,1.0,0.9981257893478004,1.0,1.0,Wavelet (HHH),glcm,Imc2
wavelet-HHH_glcm_InverseVariance,0.592737872344802,0.55,0.63,0.5927847202387466,0.55,0.63,0.5955937090196698,0.56,0.64,0.983518003918502,0.98,0.99,0.9835211495841188,0.98,0.99,0.9837088950023698,0.98,0.99,Wavelet (HHH),glcm,InverseVariance
wavelet-HHH_glcm_JointAverage,0.1553110574769264,0.13,0.18,0.1553045508452826,0.13,0.18,0.1552555176368004,0.13,0.18,0.8828844783089406,0.86,0.9,0.8828793498008348,0.86,0.9,0.8828406900606938,0.86,0.9,Wavelet (HHH),glcm,JointAverage
wavelet-HHH_glcm_JointEnergy,0.8750431851496351,0.86,0.89,0.8750445474369927,0.86,0.89,0.8754358538502944,0.86,0.89,0.9965291439090894,1.0,1.0,0.9965291870019424,1.0,1.0,0.9965415596897584,1.0,1.0,Wavelet (HHH),glcm,JointEnergy
wavelet-HHH_glcm_JointEntropy,0.6582551016983145,0.62,0.7,0.65828890966311,0.62,0.7,0.6609698211464066,0.62,0.7,0.9874957063089528,0.99,0.99,0.9874975619571608,0.99,0.99,0.9876441292166832,0.99,0.99,Wavelet (HHH),glcm,JointEntropy
wavelet-HHH_glcm_MCC,0.581497005416118,0.54,0.62,0.5815322116234306,0.54,0.62,0.5835449105476274,0.54,0.62,0.9827491730854984,0.98,0.99,0.9827516255378876,0.98,0.99,0.9828913576371214,0.98,0.99,Wavelet (HHH),glcm,MCC
wavelet-HHH_glcm_MaximumProbability,0.8386628734835965,0.82,0.86,0.8386689612456281,0.82,0.86,0.8399684429725646,0.82,0.86,0.9953298581116018,0.99,1.0,0.9953300672481707,0.99,1.0,0.995374641747696,0.99,1.0,Wavelet (HHH),glcm,MaximumProbability
wavelet-HHH_glcm_SumAverage,0.1553110574769266,0.13,0.18,0.1553045508452827,0.13,0.18,0.1552555176368005,0.13,0.18,0.8828844783089408,0.86,0.9,0.8828793498008348,0.86,0.9,0.8828406900606938,0.86,0.9,Wavelet (HHH),glcm,SumAverage
wavelet-HHH_glcm_SumEntropy,0.6601435571765578,0.62,0.7,0.6601775982457734,0.62,0.7,0.6628999203451924,0.63,0.7,0.9875990790811792,0.99,0.99,0.9876009372378688,0.99,0.99,0.9877489417542872,0.99,0.99,Wavelet (HHH),glcm,SumEntropy
wavelet-HHH_glcm_SumSquares,0.5708640230778933,0.53,0.61,0.5709139633483855,0.53,0.61,0.5736510440964158,0.53,0.61,0.9819952220514406,0.98,0.98,0.9819988260452642,0.98,0.98,0.9821954308729596,0.98,0.98,Wavelet (HHH),glcm,SumSquares
wavelet-HHH_glrlm_GrayLevelNonUniformity,0.967916818493637,0.96,0.97,0.9679170934848448,0.96,0.97,0.9682573575159208,0.96,0.97,0.99919219865882,1.0,1.0,0.9991922058063644,1.0,1.0,0.9992010468826664,1.0,1.0,Wavelet (HHH),glrlm,GrayLevelNonUniformity
wavelet-HHH_glrlm_GrayLevelNonUniformityNormalized,0.7046083539034127,0.67,0.74,0.704634314216603,0.67,0.74,0.7071824763982869,0.67,0.74,0.9898784174921984,0.99,0.99,0.9898796671144596,0.99,0.99,0.990001893891188,0.99,0.99,Wavelet (HHH),glrlm,GrayLevelNonUniformityNormalized
wavelet-HHH_glrlm_GrayLevelVariance,0.5634946547558282,0.52,0.6,0.5635433361673463,0.52,0.61,0.5661319970069613,0.53,0.61,0.9814566988112542,0.98,0.98,0.9814603004990718,0.98,0.98,0.981650967753826,0.98,0.98,Wavelet (HHH),glrlm,GrayLevelVariance
