,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6,Filter,Class,Name
wavelet-HHL_gldm_LargeDependenceEmphasis,0.2983828901892346,0.26,0.34,0.298728651117004,0.26,0.34,0.3048889427806233,0.27,0.34,0.9457595677526262,0.94,0.95,0.9458442011184902,0.94,0.95,0.9473223434407722,0.94,0.96,Wavelet (HHL),gldm,LargeDependenceEmphasis
wavelet-HHL_gldm_LargeDependenceHighGrayLevelEmphasis,0.2855181794559083,0.25,0.32,0.2858364026758933,0.25,0.32,0.2911531501446636,0.26,0.33,0.942476651302992,0.93,0.95,0.9425611357633714,0.93,0.95,0.9439475101283202,0.93,0.95,Wavelet (HHL),gldm,LargeDependenceHighGrayLevelEmphasis
wavelet-HHL_gldm_LargeDependenceLowGrayLevelEmphasis,0.2662305181406984,0.23,0.3,0.2665334123607649,0.23,0.3,0.271122009955682,0.24,0.31,0.937011281772262,0.93,0.95,0.9371026993355748,0.93,0.95,0.9384647235312394,0.93,0.95,Wavelet (HHL),gldm,LargeDependenceLowGrayLevelEmphasis
wavelet-HHL_gldm_LowGrayLevelEmphasis,0.2606822023895242,0.23,0.3,0.2606797222823642,0.23,0.3,0.2606438738091778,0.23,0.3,0.9353024277128028,0.92,0.95,0.9353016490100324,0.92,0.95,0.9352903918145342,0.92,0.95,Wavelet (HHL),gldm,LowGrayLevelEmphasis
wavelet-HHL_gldm_SmallDependenceEmphasis,0.3179161000901893,0.28,0.36,0.3182427965207079,0.28,0.36,0.3246175357564622,0.29,0.36,0.9502732665708596,0.94,0.96,0.95034439102656,0.94,0.96,0.9517056214884771,0.94,0.96,Wavelet (HHL),gldm,SmallDependenceEmphasis
wavelet-HHL_gldm_SmallDependenceHighGrayLevelEmphasis,0.2736117049233025,0.24,0.31,0.273864378625452,0.24,0.31,0.2778266939483425,0.25,0.32,0.9391862171592312,0.93,0.95,0.9392587680811764,0.93,0.95,0.9403806434106128,0.93,0.95,Wavelet (HHL),gldm,SmallDependenceHighGrayLevelEmphasis
wavelet-HHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.5132406800580948,0.47,0.56,0.5132841000871227,0.47,0.56,0.515168220936646,0.47,0.56,0.9773911867879734,0.97,0.98,0.9773950270947024,0.97,0.98,0.9775610744823778,0.97,0.98,Wavelet (HHL),gldm,SmallDependenceLowGrayLevelEmphasis
wavelet-HHL_ngtdm_Busyness,0.5530857236153227,0.51,0.6,0.5531854281465028,0.51,0.6,0.5582920769201586,0.52,0.6,0.9806726641859578,0.98,0.98,0.9806803081631676,0.98,0.98,0.9810683214911772,0.98,0.98,Wavelet (HHL),ngtdm,Busyness
wavelet-HHL_ngtdm_Coarseness,0.9620068032069836,0.96,0.97,0.9620073620878716,0.96,0.97,0.9625879094825984,0.96,0.97,0.9990376662888856,1.0,1.0,0.9990376809897406,1.0,1.0,0.999052942777089,1.0,1.0,Wavelet (HHL),ngtdm,Coarseness
wavelet-HHL_ngtdm_Complexity,0.3810920938014054,0.34,0.42,0.3811654472396067,0.34,0.42,0.3830267085910676,0.35,0.43,0.9618985498827968,0.96,0.97,0.9619099459982297,0.96,0.97,0.962197738627248,0.96,0.97,Wavelet (HHL),ngtdm,Complexity
