,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6
log-sigma-1-mm-3D_glcm_SumEntropy,0.8802462990319739,0.86,0.9,0.8802503559164034,0.86,0.9,0.8814746828169974,0.86,0.9,0.9966927867836609,1.0,1.0,0.9966929136425919,1.0,1.0,0.9967311465110458,1.0,1.0
log-sigma-1-mm-3D_glcm_SumSquares,0.8600634453268386,0.84,0.88,0.860069553148309,0.84,0.88,0.8616114327639373,0.84,0.88,0.9960472733505142,1.0,1.0,0.9960474731518574,1.0,1.0,0.996097823631581,1.0,1.0
log-sigma-1-mm-3D_glrlm_GrayLevelNonUniformity,0.9176449475352071,0.91,0.93,0.9176451315618614,0.91,0.93,0.9177292108245064,0.91,0.93,0.9978158517509659,1.0,1.0,0.9978158570579556,1.0,1.0,0.9978182815322033,1.0,1.0
log-sigma-1-mm-3D_glrlm_GrayLevelNonUniformityNormalized,0.8865756679168141,0.87,0.9,0.886578962056771,0.87,0.9,0.8876359122874613,0.87,0.9,0.996889333050585,1.0,1.0,0.9968894346330865,1.0,1.0,0.9969219902975627,1.0,1.0
log-sigma-1-mm-3D_glrlm_GrayLevelVariance,0.8323656265023157,0.81,0.85,0.8323728109043574,0.81,0.85,0.8338379980191045,0.81,0.86,0.9951119345027407,0.99,1.0,0.9951121849514089,0.99,1.0,0.995163173894141,0.99,1.0
log-sigma-1-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.8197988380344327,0.8,0.84,0.8197998653044558,0.8,0.84,0.8199915203451424,0.8,0.84,0.9946673351733996,0.99,1.0,0.9946673720576825,0.99,1.0,0.9946742518912696,0.99,1.0
log-sigma-1-mm-3D_glrlm_LongRunEmphasis,0.5691385814146348,0.53,0.61,0.5691408183395338,0.53,0.61,0.5692619924504514,0.53,0.61,0.9818703316001004,0.98,0.98,0.9818704939821925,0.98,0.98,0.9818792883853554,0.98,0.98
log-sigma-1-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.5872693131035475,0.55,0.63,0.5872705528273775,0.55,0.63,0.5873428853744178,0.55,0.63,0.9831475023301286,0.98,0.99,0.9831475870729575,0.98,0.99,0.9831525308580478,0.98,0.99
log-sigma-1-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.525127387576002,0.49,0.57,0.5251361262727186,0.49,0.57,0.5255326353110854,0.49,0.57,0.9784198795066172,0.97,0.98,0.9784206194135723,0.97,0.98,0.9784541671893433,0.97,0.98
log-sigma-1-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.5471568680414581,0.51,0.59,0.5471641892360887,0.51,0.59,0.5475271198966721,0.51,0.59,0.9802133314632462,0.98,0.98,0.9802139045363664,0.98,0.98,0.9802422948896731,0.98,0.98
log-sigma-1-mm-3D_glrlm_RunEntropy,0.5266657750467327,0.49,0.57,0.5266731238881668,0.49,0.57,0.5270085929871391,0.49,0.57,0.9785497738683729,0.97,0.98,0.978550392632151,0.97,0.98,0.9785786211925924,0.97,0.98
log-sigma-1-mm-3D_glrlm_RunLengthNonUniformity,0.9122574783417495,0.9,0.92,0.9122596010517875,0.9,0.92,0.9131653625348342,0.9,0.93,0.9976595939833552,1.0,1.0,0.9976596559040379,1.0,1.0,0.9976860519229108,1.0,1.0
log-sigma-1-mm-3D_glrlm_RunLengthNonUniformityNormalized,0.8957074097440095,0.88,0.91,0.895710526901391,0.88,0.91,0.8968095057541577,0.88,0.91,0.9971681397056154,1.0,1.0,0.9971682339331562,1.0,1.0,0.9972014148909916,1.0,1.0
log-sigma-1-mm-3D_glrlm_RunPercentage,0.8665162980414091,0.85,0.88,0.8665194341986935,0.85,0.88,0.8673549416098423,0.85,0.89,0.9962568350614609,1.0,1.0,0.9962569361732064,1.0,1.0,0.9962838481582547,1.0,1.0
log-sigma-1-mm-3D_glrlm_RunVariance,0.5579587873394688,0.52,0.6,0.5579605945879261,0.52,0.6,0.5580541384488362,0.52,0.6,0.9810432048430928,0.98,0.98,0.9810433411144823,0.98,0.98,0.9810503934194291,0.98,0.98
log-sigma-1-mm-3D_glrlm_ShortRunEmphasis,0.8966053285105408,0.88,0.91,0.896607977486376,0.88,0.91,0.8975507843301281,0.88,0.91,0.997195256247689,1.0,1.0,0.9971953361668043,1.0,1.0,0.997223751325943,1.0,1.0
log-sigma-1-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,0.7281557618236476,0.7,0.76,0.7281576937718841,0.7,0.76,0.7283699259425517,0.7,0.76,0.9909764934441275,0.99,0.99,0.990976580718883,0.99,0.99,0.9909861654711791,0.99,0.99
log-sigma-1-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,0.5705185769737001,0.53,0.61,0.5705257341289514,0.53,0.61,0.5709158126012014,0.53,0.61,0.9819702760068025,0.98,0.98,0.9819707931472005,0.98,0.98,0.9819989594870027,0.98,0.98
log-sigma-1-mm-3D_glszm_GrayLevelNonUniformity,0.8337210654828263,0.81,0.86,0.8337226326404449,0.81,0.86,0.8340449240617209,0.81,0.86,0.9951591109965469,0.99,1.0,0.9951591654557805,0.99,1.0,0.9951703609645461,0.99,1.0
log-sigma-1-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.6030367949310244,0.56,0.64,0.6030385993460733,0.56,0.64,0.6031510070562556,0.56,0.64,0.9841982504738208,0.98,0.99,0.9841983677011552,0.98,0.99,0.9842056691589366,0.98,0.99
log-sigma-1-mm-3D_glszm_GrayLevelVariance,0.7841488855855818,0.76,0.81,0.7841530509517536,0.76,0.81,0.7847739590592948,0.76,0.81,0.9933309209757422,0.99,0.99,0.993331084002144,0.99,0.99,0.9933553666880468,0.99,0.99
log-sigma-1-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.7854455395277157,0.76,0.81,0.7854474124827984,0.76,0.81,0.7857286325130964,0.76,0.81,0.9933815891997717,0.99,0.99,0.9933816622703524,0.99,0.99,0.9933926298241526,0.99,0.99
log-sigma-1-mm-3D_glszm_LargeAreaEmphasis,0.8322705069399682,0.81,0.85,0.8322714467897346,0.81,0.85,0.8324626951150614,0.81,0.85,0.9951086182336208,0.99,1.0,0.9951086510043474,0.99,1.0,0.9951153179654522,0.99,1.0
log-sigma-1-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.8439891868745064,0.82,0.86,0.84398976944399,0.82,0.86,0.8441190045686187,0.82,0.87,0.9955117159257579,0.99,1.0,0.9955117356946609,0.99,1.0,0.9955161205021413,0.99,1.0
log-sigma-1-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.6962750077295454,0.66,0.73,0.6962794074679388,0.66,0.73,0.6966931896128584,0.66,0.73,0.9894726356446714,0.99,0.99,0.9894728523583434,0.99,0.99,0.9894932218166751,0.99,0.99
