,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6
log-sigma-2-mm-3D_firstorder_Energy,0.995901982849619,1.0,1.0,0.9959019829467426,1.0,1.0,0.9959029506725121,1.0,1.0,0.9998996471448969,1.0,1.0,0.9998996471472846,1.0,1.0,0.9998996709402007,1.0,1.0
log-sigma-2-mm-3D_firstorder_Entropy,0.851391096675211,0.83,0.87,0.8513939123650781,0.83,0.87,0.8520558116141554,0.83,0.87,0.9957607709649102,1.0,1.0,0.9957608649050891,1.0,1.0,0.9957829311878806,1.0,1.0
log-sigma-2-mm-3D_firstorder_InterquartileRange,0.9908517360100961,0.99,0.99,0.9908517398472959,0.99,0.99,0.9908687800879644,0.99,0.99,0.9997748622248303,1.0,1.0,0.9997748623201138,1.0,1.0,0.9997752854480073,1.0,1.0
log-sigma-2-mm-3D_firstorder_Kurtosis,0.9141180791685698,0.9,0.93,0.9141187310223988,0.9,0.93,0.9144032885688718,0.9,0.93,0.9977137613805853,1.0,1.0,0.9977137803202981,1.0,1.0,0.9977220456732292,1.0,1.0
log-sigma-2-mm-3D_firstorder_Maximum,0.9047450238091258,0.89,0.92,0.9047450932489827,0.89,0.92,0.9047721355858215,0.89,0.92,0.9974386801286491,1.0,1.0,0.997438682187121,1.0,1.0,0.9974394838055084,1.0,1.0
log-sigma-2-mm-3D_firstorder_MeanAbsoluteDeviation,0.991680279549927,0.99,0.99,0.9916802797558351,0.99,0.99,0.9916812860387543,0.99,0.99,0.9997954194495206,1.0,1.0,0.9997954194546255,1.0,1.0,0.9997954444014197,1.0,1.0
log-sigma-2-mm-3D_firstorder_Mean,0.9554242006981686,0.95,0.96,0.9554243428065824,0.95,0.96,0.9555492414098931,0.95,0.96,0.9988633542687418,1.0,1.0,0.9988633580571395,1.0,1.0,0.998866687242392,1.0,1.0
log-sigma-2-mm-3D_firstorder_Median,0.9249984498091033,0.91,0.94,0.9249989257078407,0.91,0.94,0.9252396292022735,0.91,0.94,0.9980262717742864,1.0,1.0,0.9980262852866839,1.0,1.0,0.99803311794993,1.0,1.0
log-sigma-2-mm-3D_firstorder_Minimum,0.89293437264591,0.88,0.91,0.8929354526983717,0.88,0.91,0.893304922007607,0.88,0.91,0.9970840609485654,1.0,1.0,0.9970840937947515,1.0,1.0,0.9970953254350653,1.0,1.0
log-sigma-2-mm-3D_firstorder_Range,0.9332513324588667,0.92,0.94,0.933251677243698,0.92,0.94,0.9334493651817416,0.92,0.94,0.9982585814055208,1.0,1.0,0.9982585910272472,1.0,1.0,0.998264106659259,1.0,1.0
log-sigma-2-mm-3D_firstorder_RobustMeanAbsoluteDeviation,0.9921116183525625,0.99,0.99,0.9921116206702982,0.99,0.99,0.992123572258699,0.99,0.99,0.9998061082602661,1.0,1.0,0.9998061083176765,1.0,1.0,0.9998064043554754,1.0,1.0
log-sigma-2-mm-3D_firstorder_RootMeanSquared,0.9899843741735818,0.99,0.99,0.9899843743617146,0.99,0.99,0.9899851367900031,0.99,0.99,0.9997533059108774,1.0,1.0,0.999753305915557,1.0,1.0,0.9997533248801636,1.0,1.0
log-sigma-2-mm-3D_firstorder_Skewness,0.8816300530110712,0.86,0.9,0.8816311850400771,0.86,0.9,0.8819770107073509,0.86,0.9,0.9967359909757072,1.0,1.0,0.9967360262664391,1.0,1.0,0.9967468031741895,1.0,1.0
log-sigma-2-mm-3D_firstorder_TotalEnergy,0.995901982849619,1.0,1.0,0.9959019829467426,1.0,1.0,0.9959029506725121,1.0,1.0,0.9998996471448968,1.0,1.0,0.9998996471472847,1.0,1.0,0.9998996709402009,1.0,1.0
log-sigma-2-mm-3D_firstorder_Uniformity,0.8755252794104619,0.86,0.89,0.875527216347479,0.86,0.89,0.8760861561194708,0.86,0.89,0.9965443857203258,1.0,1.0,0.9965444469252862,1.0,1.0,0.9965620977794687,1.0,1.0
log-sigma-2-mm-3D_firstorder_Variance,0.992820354620981,0.99,0.99,0.9928203547422035,0.99,0.99,0.9928210420240469,0.99,0.99,0.9998236514590609,1.0,1.0,0.9998236514620595,1.0,1.0,0.9998236684623439,1.0,1.0
