,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6
log-sigma-1-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,0.5743619766119806,0.54,0.62,0.5743946350117077,0.54,0.62,0.5762072981117311,0.54,0.62,0.9822462034631381,0.98,0.98,0.9822485329310638,0.98,0.98,0.9823774302466339,0.98,0.99
log-sigma-1-mm-3D_ngtdm_Busyness,0.9776743425314997,0.97,0.98,0.9776743417375102,0.97,0.98,0.9776729161696245,0.97,0.98,0.9994433472434298,1.0,1.0,0.999443347223192,1.0,1.0,0.9994433108875707,1.0,1.0
log-sigma-1-mm-3D_ngtdm_Coarseness,0.9750202598005255,0.97,0.98,0.9750202934316234,0.97,0.98,0.9750741172638346,0.97,0.98,0.9993755191468706,1.0,1.0,0.9993755200086325,1.0,1.0,0.9993768991141286,1.0,1.0
log-sigma-1-mm-3D_ngtdm_Complexity,0.6334362328955768,0.6,0.67,0.633436695979757,0.6,0.67,0.6334695070185892,0.6,0.67,0.9860820323673408,0.98,0.99,0.9860820597386818,0.98,0.99,0.9860839989902881,0.98,0.99
log-sigma-1-mm-3D_ngtdm_Contrast,0.6391317232684801,0.6,0.68,0.6391905129135826,0.6,0.68,0.6434886163008346,0.61,0.68,0.9864157868052316,0.98,0.99,0.9864192020184214,0.98,0.99,0.9866672604811146,0.98,0.99
log-sigma-1-mm-3D_ngtdm_Strength,0.978762554665621,0.98,0.98,0.9787626389577064,0.98,0.98,0.9789219392025832,0.98,0.98,0.9994710540546751,1.0,1.0,0.9994710561984965,1.0,1.0,0.9994751070781918,1.0,1.0
log-sigma-2-mm-3D_firstorder_10Percentile,0.9218793606159847,0.91,0.93,0.9218851084785245,0.91,0.93,0.9246745247745782,0.91,0.94,0.9979374183598956,1.0,1.0,0.9979375826374809,1.0,1.0,0.9980170712896794,1.0,1.0
log-sigma-2-mm-3D_firstorder_90Percentile,0.9619991740510455,0.96,0.97,0.9620005338641476,0.96,0.97,0.963413992135293,0.96,0.97,0.9990374656091913,1.0,1.0,0.9990375013783659,1.0,1.0,0.9990746284412245,1.0,1.0
log-sigma-2-mm-3D_firstorder_Energy,0.9573413461233883,0.95,0.96,0.9573427497860152,0.95,0.96,0.9586360316730852,0.95,0.96,0.9989143627608428,1.0,1.0,0.998914400034426,1.0,1.0,0.9989486973078712,1.0,1.0
log-sigma-2-mm-3D_firstorder_Entropy,0.8050524762828178,0.78,0.83,0.8050754273689781,0.78,0.83,0.8089803040689754,0.78,0.83,0.9941284578599716,0.99,1.0,0.9941293114395382,0.99,1.0,0.9942738547001937,0.99,1.0
