,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6,Filter,Class,Name
moment_3_0_3,0.7332205260479442,0.7,0.77,0.7332203519911745,0.7,0.77,0.7332007389356355,0.7,0.77,0.9912037637868172,0.99,0.99,0.9912037560285664,0.99,0.99,0.9912028817909456,0.99,0.99,Original,Moment,x3-y0-z3
moment_3_1_0,0.8925070964633688,0.88,0.91,0.8925070733689459,0.88,0.91,0.8924992116228082,0.88,0.91,0.9970710607048444,1.0,1.0,0.9970710600018494,1.0,1.0,0.9970708206880348,1.0,1.0,Original,Moment,x0-y1-z3
moment_3_1_1,0.658869840287844,0.62,0.7,0.6588694413570167,0.62,0.7,0.6588378520659566,0.62,0.7,0.9875294193567384,0.99,0.99,0.9875293974985172,0.99,0.99,0.98752766657683,0.99,0.99,Original,Moment,x1-y1-z3
moment_3_1_2,0.7949492753422547,0.77,0.82,0.7949489466379404,0.77,0.82,0.7948967023699984,0.77,0.82,0.9937480667760772,0.99,0.99,0.993748054247681,0.99,0.99,0.9937460628565424,0.99,0.99,Original,Moment,x2-y1-z3
moment_3_1_3,0.3186703449121214,0.28,0.36,0.3186735542007937,0.28,0.36,0.3187351094724823,0.28,0.36,0.9504372674879688,0.94,0.96,0.9504379637688722,0.94,0.96,0.9504513161622457,0.94,0.96,Original,Moment,x3-y1-z3
moment_3_2_0,0.8573786564750546,0.84,0.88,0.8573786614550226,0.84,0.88,0.8573798888919055,0.84,0.88,0.9959591796991472,1.0,1.0,0.9959591798630478,1.0,1.0,0.9959592202603575,1.0,1.0,Original,Moment,x0-y2-z3
moment_3_2_1,0.83623958256236,0.81,0.86,0.8362397494781343,0.81,0.86,0.8362746973921555,0.81,0.86,0.9952463745061968,0.99,1.0,0.9952463802727088,0.99,1.0,0.9952475875843216,0.99,1.0,Original,Moment,x1-y2-z3
moment_3_2_2,0.5697123889725751,0.53,0.61,0.5697140374302293,0.53,0.61,0.5698035384434823,0.53,0.61,0.9819119452105752,0.98,0.98,0.9819120646441674,0.98,0.98,0.9819185481527952,0.98,0.98,Original,Moment,x2-y2-z3
moment_3_2_3,0.7574859221367004,0.73,0.79,0.7574871209361121,0.73,0.79,0.7576406733701155,0.73,0.79,0.9922518069973364,0.99,0.99,0.9922518571687876,0.99,0.99,0.9922582822846956,0.99,0.99,Original,Moment,x3-y2-z3
moment_3_3_0,0.7761106220516326,0.75,0.8,0.7761105932926544,0.75,0.8,0.7761065059114377,0.75,0.8,0.993013156617029,0.99,0.99,0.993013155468737,0.99,0.99,0.993012992266433,0.99,0.99,Original,Moment,x0-y3-z3
moment_3_3_1,0.7246979883677677,0.69,0.76,0.7246979282230828,0.69,0.76,0.7246914370250924,0.69,0.76,0.9908195694831856,0.99,0.99,0.9908195667410528,0.99,0.99,0.990819270790014,0.99,0.99,Original,Moment,x1-y3-z3
moment_3_3_2,0.7605096417238624,0.73,0.79,0.7605089802857836,0.73,0.79,0.7604228729428513,0.73,0.79,0.9923778670064904,0.99,0.99,0.9923778395370132,0.99,0.99,0.9923742631100272,0.99,0.99,Original,Moment,x2-y3-z3
moment_3_3_3,0.2496804333739124,0.22,0.28,0.2496801607725449,0.22,0.28,0.2496764416269445,0.22,0.28,0.931709772934144,0.92,0.94,0.931709680349942,0.92,0.94,0.9317084171899864,0.92,0.94,Original,Moment,x3-y3-z3
gradient_0,0.121973116636576,0.1,0.14,0.1219608106886394,0.1,0.14,0.1218907681415604,0.1,0.14,0.8506483866817389,0.83,0.87,0.8506337871305654,0.83,0.87,0.8505506433508138,0.83,0.87,Original,Gradient,z
gradient_1,0.978117518389112,0.97,0.98,0.9781178132242973,0.97,0.98,0.9786584402360632,0.98,0.98,0.9994546381353696,1.0,1.0,0.9994546456436316,1.0,1.0,0.9994684058114702,1.0,1.0,Original,Gradient,y
gradient_2,0.984350009729172,0.98,0.99,0.9843500093033328,0.98,0.99,0.9843489111461744,0.98,0.99,0.9996123745450048,1.0,1.0,0.999612374534294,1.0,1.0,0.999612346912921,1.0,1.0,Original,Gradient,x
AbsolutemGy_At_RelativeVolume_0.00,0.9930391434161274,0.99,0.99,0.9930391446600296,0.99,0.99,0.9930464203978742,0.99,0.99,0.9998290621576564,1.0,1.0,0.9998290621884118,1.0,1.0,0.9998292420791725,1.0,1.0,Original,DVH,DC100%[mGy]
AbsolutemGy_At_RelativeVolume_0.05,0.987282311514446,0.99,0.99,0.9872823182960464,0.99,0.99,0.9873039036280796,0.99,0.99,0.9996859154718776,1.0,1.0,0.9996859156414644,1.0,1.0,0.9996864554130828,1.0,1.0,Original,DVH,DC95%[mGy]
AbsolutemGy_At_RelativeVolume_0.10,0.9788466086308574,0.98,0.98,0.9788466396716432,0.98,0.98,0.9789055345250324,0.98,0.98,0.9994731916413506,1.0,1.0,0.9994731924306866,1.0,1.0,0.999474689979547,1.0,1.0,Original,DVH,DC90%[mGy]
AbsolutemGy_At_RelativeVolume_0.15,0.9745136486574678,0.97,0.98,0.9745136726347084,0.97,0.98,0.9745512633062624,0.97,0.98,0.9993625311826216,1.0,1.0,0.9993625317976365,1.0,1.0,0.999363495959938,1.0,1.0,Original,DVH,DC85%[mGy]
AbsolutemGy_At_RelativeVolume_0.20,0.9759265100614948,0.97,0.98,0.9759265395191762,0.97,0.98,0.9759755041270008,0.97,0.98,0.999398719843652,1.0,1.0,0.9993987205971084,1.0,1.0,0.9993999729320562,1.0,1.0,Original,DVH,DC80%[mGy]
AbsolutemGy_At_RelativeVolume_0.25,0.9820544218046452,0.98,0.98,0.9820544421586502,0.98,0.98,0.9821001122668358,0.98,0.98,0.9995545032669834,1.0,1.0,0.9995545037812732,1.0,1.0,0.9995556576869782,1.0,1.0,Original,DVH,DC75%[mGy]
AbsolutemGy_At_RelativeVolume_0.30,0.9818859209534708,0.98,0.98,0.9818859456854168,0.98,0.98,0.9819409138505142,0.98,0.98,0.9995502450012068,1.0,1.0,0.9995502456263244,1.0,1.0,0.999551634909728,1.0,1.0,Original,DVH,DC70%[mGy]
AbsolutemGy_At_RelativeVolume_0.35,0.9808751618182188,0.98,0.98,0.9808751924791478,0.98,0.98,0.980939670796243,0.98,0.98,0.999524671676274,1.0,1.0,0.9995246724528092,1.0,1.0,0.9995263053601248,1.0,1.0,Original,DVH,DC65%[mGy]
AbsolutemGy_At_RelativeVolume_0.40,0.9798202495031216,0.98,0.98,0.979820285739668,0.98,0.98,0.9798924285845392,0.98,0.98,0.9994979263578024,1.0,1.0,0.9994979272774764,1.0,1.0,0.999499758112324,1.0,1.0,Original,DVH,DC60%[mGy]
AbsolutemGy_At_RelativeVolume_0.45,0.97840883634287,0.97,0.98,0.97840887893143,0.97,0.98,0.9784880116839646,0.97,0.98,0.999462054676142,1.0,1.0,0.9994620557600716,1.0,1.0,0.999464069623514,1.0,1.0,Original,DVH,DC55%[mGy]
AbsolutemGy_At_RelativeVolume_0.50,0.9770934532069804,0.97,0.98,0.9770935004569372,0.97,0.98,0.9771761420170622,0.97,0.98,0.9994285326702886,1.0,1.0,0.9994285338760152,1.0,1.0,0.9994306425530896,1.0,1.0,Original,DVH,DC50%[mGy]
AbsolutemGy_At_RelativeVolume_0.55,0.9762199750884112,0.97,0.98,0.9762200202240084,0.97,0.98,0.9762959954939566,0.97,0.98,0.9994062237694196,1.0,1.0,0.9994062249232024,1.0,1.0,0.9994081669003791,1.0,1.0,Original,DVH,DC45%[mGy]
AbsolutemGy_At_RelativeVolume_0.60,0.9742277144808602,0.97,0.98,0.974227759933206,0.97,0.98,0.9742982096300372,0.97,0.98,0.9993551948883712,1.0,1.0,0.9993551960548884,1.0,1.0,0.9993570039923448,1.0,1.0,Original,DVH,DC40%[mGy]
AbsolutemGy_At_RelativeVolume_0.65,0.9695631118820864,0.96,0.97,0.9695631549100816,0.96,0.97,0.9696193548684312,0.96,0.97,0.9992349181325376,1.0,1.0,0.999234919247218,1.0,1.0,0.9992363750769864,1.0,1.0,Original,DVH,DC35%[mGy]
AbsolutemGy_At_RelativeVolume_0.70,0.9765301813739268,0.97,0.98,0.9765302183937744,0.97,0.98,0.9765933755436194,0.97,0.98,0.9994141509895916,1.0,1.0,0.9994141519353288,1.0,1.0,0.999415765293883,1.0,1.0,Original,DVH,DC30%[mGy]
AbsolutemGy_At_RelativeVolume_0.75,0.982127312483322,0.98,0.98,0.982127335005095,0.98,0.98,0.982178079251221,0.98,0.98,0.9995563448807528,1.0,1.0,0.9995563454497336,1.0,1.0,0.999557627367098,1.0,1.0,Original,DVH,DC25%[mGy]
AbsolutemGy_At_RelativeVolume_0.80,0.987040923282361,0.98,0.99,0.987040935817695,0.98,0.99,0.987080082782603,0.98,0.99,0.999679877650708,1.0,1.0,0.9996798779643278,1.0,1.0,0.9996808573393255,1.0,1.0,Original,DVH,DC20%[mGy]
AbsolutemGy_At_RelativeVolume_0.85,0.9910994426729622,0.99,0.99,0.9910994486864968,0.99,0.99,0.991126903956826,0.99,0.99,0.9997810116570968,1.0,1.0,0.9997810118063492,1.0,1.0,0.9997816932115317,1.0,1.0,Original,DVH,DC15%[mGy]
AbsolutemGy_At_RelativeVolume_0.90,0.9941071350964192,0.99,1.0,0.9941071379717088,0.99,1.0,0.9941270255022898,0.99,1.0,0.9998554404953944,1.0,1.0,0.9998554405663368,1.0,1.0,0.9998559312443211,1.0,1.0,Original,DVH,DC10%[mGy]
