,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6,Filter,Class,Name
original_firstorder_Maximum,0.943336750474201,0.93,0.95,0.943337149533388,0.93,0.95,0.943609615367103,0.93,0.95,0.9985370985481536,1.0,1.0,0.9985371094537188,1.0,1.0,0.9985445533541516,1.0,1.0,Original,firstorder,Maximum
original_firstorder_MeanAbsoluteDeviation,0.9901439835618848,0.99,0.99,0.9901439875273084,0.99,0.99,0.9901603209622702,0.99,0.99,0.999757275406304,1.0,1.0,0.999757275504909,1.0,1.0,0.9997576816480476,1.0,1.0,Original,firstorder,MeanAbsoluteDeviation
original_firstorder_Mean,0.9958050284526194,1.0,1.0,0.9958050307213772,1.0,1.0,0.9958271121375124,1.0,1.0,0.999897263154313,1.0,1.0,0.9998972632101044,1.0,1.0,0.9998978062050649,1.0,1.0,Original,firstorder,Mean
original_firstorder_Median,0.9964762220680392,1.0,1.0,0.9964762238586778,1.0,1.0,0.9964969853851822,1.0,1.0,0.9999137577102668,1.0,1.0,0.999913757754243,1.0,1.0,0.9999142676223,1.0,1.0,Original,firstorder,Median
original_firstorder_Minimum,0.8591082550304122,0.84,0.88,0.8591092377695198,0.84,0.88,0.8593549966126987,0.84,0.88,0.9960159928332324,1.0,1.0,0.9960160250506508,1.0,1.0,0.9960240795855168,1.0,1.0,Original,firstorder,Minimum
original_firstorder_Range,0.9424878335899652,0.93,0.95,0.9424882312038296,0.93,0.95,0.9427554608924,0.93,0.95,0.998513878820661,1.0,1.0,0.9985138897058052,1.0,1.0,0.9985212034077592,1.0,1.0,Original,firstorder,Range
original_firstorder_RobustMeanAbsoluteDeviation,0.98936161732467,0.99,0.99,0.989361621423262,0.99,0.99,0.9893772494759075,0.99,0.99,0.9997378059635332,1.0,1.0,0.9997378060656068,1.0,1.0,0.9997381952688316,1.0,1.0,Original,firstorder,RobustMeanAbsoluteDeviation
original_firstorder_RootMeanSquared,0.9959094213784854,1.0,1.0,0.9959094225793016,1.0,1.0,0.9959214093100098,1.0,1.0,0.9998998300305626,1.0,1.0,0.999899830060086,1.0,1.0,0.999900124763454,1.0,1.0,Original,firstorder,RootMeanSquared
original_firstorder_Skewness,0.9705022466662367,0.97,0.97,0.9705023120849108,0.97,0.97,0.970590565743577,0.97,0.98,0.9992592243404635,1.0,1.0,0.999259226031999,1.0,1.0,0.9992615078108325,1.0,1.0,Original,firstorder,Skewness
original_firstorder_TotalEnergy,0.9962728487751464,1.0,1.0,0.996272849044606,1.0,1.0,0.996275802160286,1.0,1.0,0.9999087621092316,1.0,1.0,0.9999087621158516,1.0,1.0,0.9999088346695416,1.0,1.0,Original,firstorder,TotalEnergy
original_firstorder_Uniformity,0.9210806472698838,0.91,0.93,0.921081193058177,0.91,0.93,0.9213424366422744,0.91,0.93,0.9979145712112956,1.0,1.0,0.9979145868367092,1.0,1.0,0.9979220639297122,1.0,1.0,Original,firstorder,Uniformity
original_firstorder_Variance,0.992358864311769,0.99,0.99,0.9923588670364324,0.99,0.99,0.9923733752476164,0.99,0.99,0.9998122310632884,1.0,1.0,0.9998122311307458,1.0,1.0,0.999812590319888,1.0,1.0,Original,firstorder,Variance
original_glcm_Autocorrelation,0.8852358213595167,0.87,0.9,0.8852369064380201,0.87,0.9,0.8855802007137975,0.87,0.9,0.9968479547841492,1.0,1.0,0.9968479883437412,1.0,1.0,0.9968586018234168,1.0,1.0,Original,glcm,Autocorrelation
original_glcm_ClusterProminence,0.9565082496959968,0.95,0.96,0.9565083547203592,0.95,0.96,0.9566030653651446,0.95,0.96,0.99889222147859,1.0,1.0,0.9988922242722011,1.0,1.0,0.9988947432988426,1.0,1.0,Original,glcm,ClusterProminence
original_glcm_ClusterShade,0.9772886640535527,0.97,0.98,0.9772886701622868,0.97,0.98,0.97729944771157,0.97,0.98,0.9994335130995448,1.0,1.0,0.999433513255367,1.0,1.0,0.9994337881672922,1.0,1.0,Original,glcm,ClusterShade
original_glcm_ClusterTendency,0.901562253581326,0.89,0.92,0.9015628992262872,0.89,0.92,0.901805408748366,0.89,0.92,0.997344006135632,1.0,1.0,0.9973440254068042,1.0,1.0,0.9973512619174224,1.0,1.0,Original,glcm,ClusterTendency
original_glcm_Contrast,0.923642735072116,0.91,0.93,0.9236429681379944,0.91,0.93,0.9237585715547106,0.91,0.93,0.997987723351877,1.0,1.0,0.9979877299883464,1.0,1.0,0.9979910213532944,1.0,1.0,Original,glcm,Contrast
original_glcm_Correlation,0.9710825619797326,0.97,0.98,0.9710825605984864,0.97,0.98,0.971080658861162,0.97,0.98,0.9992742208546752,1.0,1.0,0.999274220819002,1.0,1.0,0.9992741717028244,1.0,1.0,Original,glcm,Correlation
original_glcm_DifferenceAverage,0.9261737438434128,0.91,0.94,0.926174098767636,0.91,0.94,0.926356692932851,0.91,0.94,0.9980596011865752,1.0,1.0,0.9980596112392038,1.0,1.0,0.99806478191581,1.0,1.0,Original,glcm,DifferenceAverage
