,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6
log-sigma-1-mm-3D_glcm_Id,0.9484396277637738,0.94,0.96,0.9484395953047747,0.94,0.96,0.9484151158689754,0.94,0.96,0.9986758199798514,1.0,1.0,0.998675819102081,1.0,1.0,0.9986751571017835,1.0,1.0
log-sigma-1-mm-3D_glcm_Idm,0.9533838590973499,0.95,0.96,0.9533838313127142,0.95,0.96,0.953360533807584,0.95,0.96,0.9988088483760951,1.0,1.0,0.9988088476323056,1.0,1.0,0.9988082239475947,1.0,1.0
log-sigma-1-mm-3D_glcm_Idmn,0.9533803268130195,0.95,0.96,0.9533803355969579,0.95,0.96,0.9533877006090485,0.95,0.96,0.9988087538171675,1.0,1.0,0.9988087540523134,1.0,1.0,0.9988089512122358,1.0,1.0
log-sigma-1-mm-3D_glcm_Idn,0.9593506335499624,0.95,0.97,0.9593506227345163,0.95,0.97,0.9593401575441042,0.95,0.97,0.9989676095827906,1.0,1.0,0.9989676092967625,1.0,1.0,0.9989673325286926,1.0,1.0
log-sigma-1-mm-3D_glcm_Imc1,0.9830451234328603,0.98,0.99,0.9830451233013975,0.98,0.99,0.9830448107903431,0.98,0.99,0.9995795109719543,1.0,1.0,0.9995795109686391,1.0,1.0,0.9995795030878547,1.0,1.0
log-sigma-1-mm-3D_glcm_Imc2,0.9866500599205345,0.98,0.99,0.9866500621379377,0.98,0.99,0.9866567813031588,0.98,0.99,0.9996700949120559,1.0,1.0,0.9996700949675758,1.0,1.0,0.9996702632023171,1.0,1.0
log-sigma-1-mm-3D_glcm_InverseVariance,0.831613167755753,0.81,0.85,0.8316128647419011,0.81,0.85,0.8315515129332688,0.81,0.85,0.9950856804861695,0.99,1.0,0.9950856699044314,0.99,1.0,0.9950835272449091,0.99,1.0
log-sigma-1-mm-3D_glcm_JointAverage,0.8534494426861077,0.83,0.87,0.8534492464719159,0.83,0.87,0.8534023995934913,0.83,0.87,0.9958292831040517,1.0,1.0,0.9958292765883553,1.0,1.0,0.9958277208579362,1.0,1.0
log-sigma-1-mm-3D_glcm_JointEnergy,0.8538668141001889,0.83,0.87,0.8538666138835914,0.83,0.87,0.8538186515044172,0.83,0.87,0.9958431361966538,1.0,1.0,0.9958431295543625,1.0,1.0,0.9958415382899151,1.0,1.0
log-sigma-1-mm-3D_glcm_JointEntropy,0.9623581654645125,0.96,0.97,0.9623581550849737,0.96,0.97,0.9623472752336006,0.96,0.97,0.9990469052707489,1.0,1.0,0.9990469049979188,1.0,1.0,0.9990466190136219,1.0,1.0
log-sigma-1-mm-3D_glcm_MCC,0.9138237735267374,0.9,0.93,0.913823846629803,0.9,0.93,0.9138556307040341,0.9,0.93,0.9977052075985056,1.0,1.0,0.9977052097238593,1.0,1.0,0.9977061337633091,1.0,1.0
log-sigma-1-mm-3D_glcm_MaximumProbability,0.7867886118825753,0.76,0.81,0.7867880292067121,0.76,0.81,0.7866998817934541,0.76,0.81,0.993433900617829,0.99,0.99,0.9934338779606777,0.99,0.99,0.9934304500040316,0.99,0.99
log-sigma-1-mm-3D_glcm_SumAverage,0.8534494426861077,0.83,0.87,0.8534492464719159,0.83,0.87,0.8534023995934913,0.83,0.87,0.9958292831040517,1.0,1.0,0.9958292765883553,1.0,1.0,0.9958277208579362,1.0,1.0
log-sigma-1-mm-3D_glcm_SumEntropy,0.9610414906051813,0.95,0.97,0.9610414907956468,0.95,0.97,0.9610416834328434,0.95,0.97,0.9990122497439,1.0,1.0,0.9990122497489199,1.0,1.0,0.9990122548259946,1.0,1.0
log-sigma-1-mm-3D_glcm_SumSquares,0.9557939400820016,0.95,0.96,0.9557939907807234,0.95,0.96,0.9558389360282059,0.95,0.96,0.9988732072530366,1.0,1.0,0.99887320860357,1.0,1.0,0.9988744058185889,1.0,1.0
log-sigma-1-mm-3D_glrlm_GrayLevelNonUniformity,0.9794695361172432,0.98,0.98,0.9794695323196501,0.98,0.98,0.9794621041610432,0.98,0.98,0.9994890222365002,1.0,1.0,0.9994890221400511,1.0,1.0,0.9994888334822719,1.0,1.0
log-sigma-1-mm-3D_glrlm_GrayLevelNonUniformityNormalized,0.9598334454163668,0.95,0.97,0.9598334314112827,0.95,0.97,0.9598197101303652,0.95,0.97,0.9989803718900243,1.0,1.0,0.9989803715200052,1.0,1.0,0.9989800089941255,1.0,1.0
log-sigma-1-mm-3D_glrlm_GrayLevelVariance,0.95759840725158,0.95,0.96,0.9575984481292853,0.95,0.96,0.9576363001260875,0.95,0.96,0.9989211871188806,1.0,1.0,0.9989211882038019,1.0,1.0,0.9989221927820987,1.0,1.0
log-sigma-1-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.8315538489351367,0.81,0.85,0.8315535459975514,0.81,0.85,0.8314922356013987,0.81,0.85,0.9950836088334004,0.99,1.0,0.9950835982528601,0.99,1.0,0.995081456743146,0.99,1.0
log-sigma-1-mm-3D_glrlm_LongRunEmphasis,0.7008304144488583,0.67,0.74,0.7008294382528873,0.67,0.74,0.7007356911908584,0.67,0.74,0.9896956100352206,0.99,0.99,0.9896955625529866,0.99,0.99,0.989691002094782,0.99,0.99
log-sigma-1-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.45936927602969196,0.42,0.5,0.45936904488280145,0.42,0.5,0.45936099248349516,0.42,0.5,0.9720961490166251,0.97,0.98,0.972096123770254,0.97,0.98,0.9720952442544737,0.97,0.98
log-sigma-1-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.8489462324682643,0.83,0.87,0.8489462338122168,0.83,0.87,0.8489465434946364,0.83,0.87,0.9956789742343439,0.99,1.0,0.9956789742794337,0.99,1.0,0.9956789846693211,0.99,1.0
log-sigma-1-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.8157281053067357,0.79,0.84,0.8157286434020528,0.79,0.84,0.8158263180105648,0.79,0.84,0.9945204670353552,0.99,1.0,0.9945204865433072,0.99,1.0,0.9945240271966868,0.99,1.0
log-sigma-1-mm-3D_glrlm_RunEntropy,0.9697495803322529,0.96,0.97,0.9697495766325338,0.96,0.97,0.9697447139193776,0.96,0.97,0.9992397478655471,1.0,1.0,0.9992397477697383,1.0,1.0,0.9992396218432412,1.0,1.0
log-sigma-1-mm-3D_glrlm_RunLengthNonUniformity,0.9922514893696901,0.99,0.99,0.9922514888201012,0.99,0.99,0.9922486033003477,0.99,0.99,0.9998095723940618,1.0,1.0,0.9998095723804522,1.0,1.0,0.9998095009254743,1.0,1.0
log-sigma-1-mm-3D_glrlm_RunLengthNonUniformityNormalized,0.9571561884709665,0.95,0.96,0.957156168985529,0.95,0.96,0.9571383213529167,0.95,0.96,0.9989094450548712,1.0,1.0,0.9989094445372491,1.0,1.0,0.9989089704139626,1.0,1.0
log-sigma-1-mm-3D_glrlm_RunPercentage,0.9208634379870941,0.91,0.93,0.9208633511288836,0.91,0.93,0.9208219136616382,0.91,0.93,0.9979083512789828,1.0,1.0,0.9979083487911687,1.0,1.0,0.997907161877022,1.0,1.0
log-sigma-1-mm-3D_glrlm_RunVariance,0.6301900723976696,0.59,0.67,0.6301884987422064,0.59,0.67,0.6300785704062376,0.59,0.67,0.9858892120324331,0.98,0.99,0.9858891180947263,0.98,0.99,0.9858825549214516,0.98,0.99
log-sigma-1-mm-3D_glrlm_ShortRunEmphasis,0.9530054532724364,0.95,0.96,0.9530054296439131,0.95,0.96,0.9529857843109368,0.95,0.96,0.9987987146040362,1.0,1.0,0.9987987139710155,1.0,1.0,0.9987981876515161,1.0,1.0
log-sigma-1-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,0.8717219418636855,0.85,0.89,0.8717218076521301,0.85,0.89,0.8716844154820197,0.85,0.89,0.9964236946775912,1.0,1.0,0.996423690400601,1.0,1.0,0.9964224987547877,1.0,1.0
log-sigma-1-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,0.8008228014084366,0.77,0.83,0.8008234350690022,0.77,0.83,0.800927905730097,0.77,0.83,0.9939703409057044,0.99,0.99,0.9939703647149964,0.99,0.99,0.9939742896175082,0.99,0.99
log-sigma-1-mm-3D_glszm_GrayLevelNonUniformity,0.9817848203734473,0.98,0.98,0.9817848216284876,0.98,0.98,0.9817875951121484,0.98,0.98,0.9995476893558101,1.0,1.0,0.9995476893875385,1.0,1.0,0.9995477595031894,1.0,1.0
log-sigma-1-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.9091270901540582,0.9,0.92,0.9091271461266449,0.9,0.92,0.9091501055191824,0.9,0.92,0.9975679725274064,1.0,1.0,0.9975679741711243,1.0,1.0,0.9975686483910868,1.0,1.0
log-sigma-1-mm-3D_glszm_GrayLevelVariance,0.9032906234391402,0.89,0.92,0.903290785680726,0.89,0.92,0.9033529204812856,0.89,0.92,0.99739549839999,1.0,1.0,0.9973955032245538,1.0,1.0,0.9973973507976737,1.0,1.0
log-sigma-1-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.8283458738320892,0.8,0.85,0.8283452253792263,0.8,0.85,0.828216947392744,0.8,0.85,0.994971144425968,0.99,1.0,0.9949711216071875,0.99,1.0,0.9949666068772958,0.99,1.0
log-sigma-1-mm-3D_glszm_LargeAreaEmphasis,0.8745498239727292,0.86,0.89,0.8745496149958214,0.86,0.89,0.8744898886874041,0.86,0.89,0.9965135289707122,1.0,1.0,0.99651352235294,1.0,1.0,0.9965116308451297,1.0,1.0
log-sigma-1-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.4639820814314975,0.42,0.51,0.4639795469920296,0.42,0.51,0.4638896177103344,0.42,0.51,0.9725952167306772,0.97,0.98,0.9725949451104186,0.97,0.98,0.9725853054110412,0.97,0.98
log-sigma-1-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.9273696346651121,0.92,0.94,0.9273697478784199,0.92,0.94,0.927429019087681,0.92,0.94,0.9980934302530438,1.0,1.0,0.9980934334515724,1.0,1.0,0.9980951078910365,1.0,1.0
log-sigma-1-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.7692116746979503,0.74,0.8,0.7692117716616669,0.74,0.8,0.7692250221742086,0.74,0.8,0.9927353017887258,0.99,0.99,0.9927353057278578,0.99,0.99,0.9927358440182973,0.99,0.99
log-sigma-1-mm-3D_glszm_SizeZoneNonUniformity,0.9699481132395456,0.97,0.97,0.9699481589202703,0.97,0.97,0.9700086123142698,0.97,0.97,0.9992448880911335,1.0,1.0,0.9992448892736194,1.0,1.0,0.999246454067971,1.0,1.0
