,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6,Filter,Class,Name
original_firstorder_Median,0.9964188545746206,1.0,1.0,0.9964188559832486,1.0,1.0,0.996434925658976,1.0,1.0,0.999912348753664,1.0,1.0,0.9999123487882622,1.0,1.0,0.9999127434785255,1.0,1.0,Original,firstorder,Median
original_firstorder_Minimum,0.8724661118177455,0.85,0.89,0.872467285652978,0.85,0.89,0.87279665142763,0.85,0.89,0.9964473898651186,1.0,1.0,0.996447427210279,1.0,1.0,0.9964579020101574,1.0,1.0,Original,firstorder,Minimum
original_firstorder_Range,0.9352240565218788,0.93,0.94,0.9352244450634098,0.93,0.94,0.9354544992943086,0.93,0.94,0.9983135200831994,1.0,1.0,0.998313530881514,1.0,1.0,0.9983199229960108,1.0,1.0,Original,firstorder,Range
original_firstorder_RobustMeanAbsoluteDeviation,0.98836001579045,0.99,0.99,0.988360015681546,0.99,0.99,0.9883596365499316,0.99,0.99,0.999712836898334,1.0,1.0,0.9997128368956164,1.0,1.0,0.999712827434846,1.0,1.0,Original,firstorder,RobustMeanAbsoluteDeviation
original_firstorder_RootMeanSquared,0.9941647860350246,0.99,1.0,0.9941647877072274,0.99,1.0,0.994176468692754,0.99,1.0,0.9998568628438468,1.0,1.0,0.9998568628851008,1.0,1.0,0.9998571510556284,1.0,1.0,Original,firstorder,RootMeanSquared
original_firstorder_Skewness,0.9673535531114752,0.96,0.97,0.9673535723490628,0.96,0.97,0.9673769442631476,0.96,0.97,0.9991775500076016,1.0,1.0,0.9991775505081908,1.0,1.0,0.9991781586642696,1.0,1.0,Original,firstorder,Skewness
original_firstorder_TotalEnergy,0.9950921839223624,0.99,1.0,0.9950921846336628,0.99,1.0,0.995098097725571,0.99,1.0,0.9998797212606128,1.0,1.0,0.9998797212781289,1.0,1.0,0.9998798668901218,1.0,1.0,Original,firstorder,TotalEnergy
original_firstorder_Uniformity,0.9198279777600916,0.91,0.93,0.9198283386544566,0.91,0.93,0.919998134893457,0.91,0.93,0.9978786608745972,1.0,1.0,0.997878671234086,1.0,1.0,0.997883544364996,1.0,1.0,Original,firstorder,Uniformity
original_firstorder_Variance,0.9549527754847112,0.95,0.96,0.9549528025531572,0.95,0.96,0.954976329834498,0.95,0.96,0.9988507807304028,1.0,1.0,0.9988507814527018,1.0,1.0,0.9988514092433972,1.0,1.0,Original,firstorder,Variance
original_glcm_Autocorrelation,0.8836345866596077,0.87,0.9,0.8836346215011065,0.87,0.9,0.8836454691301477,0.87,0.9,0.9967983440469677,1.0,1.0,0.9967983451283572,1.0,1.0,0.9967986818065236,1.0,1.0,Original,glcm,Autocorrelation
original_glcm_ClusterProminence,0.9572335667691976,0.95,0.96,0.9572336747372436,0.95,0.96,0.9573327668280276,0.95,0.96,0.9989115004140138,1.0,1.0,0.998911503281686,1.0,1.0,0.9989141349394832,1.0,1.0,Original,glcm,ClusterProminence
original_glcm_ClusterShade,0.9747199830342304,0.97,0.98,0.9747200132733976,0.97,0.98,0.9747678187337148,0.97,0.98,0.999367822555446,1.0,1.0,0.9993678233307588,1.0,1.0,0.9993690489733346,1.0,1.0,Original,glcm,ClusterShade
original_glcm_ClusterTendency,0.910626051109884,0.9,0.92,0.9106264525556584,0.9,0.92,0.9107941861486548,0.9,0.92,0.9976119212161711,1.0,1.0,0.9976119329674727,1.0,1.0,0.9976168420585492,1.0,1.0,Original,glcm,ClusterTendency
original_glcm_Contrast,0.905191984518372,0.89,0.92,0.9051922748148388,0.89,0.92,0.9053059265089624,0.89,0.92,0.9974519234453864,1.0,1.0,0.9974519320426514,1.0,1.0,0.9974552974781538,1.0,1.0,Original,glcm,Contrast
original_glcm_Correlation,0.9598512232774172,0.95,0.97,0.9598513300892714,0.95,0.97,0.9599560386856836,0.95,0.97,0.998980841578564,1.0,1.0,0.9989808444004667,1.0,1.0,0.9989836104419506,1.0,1.0,Original,glcm,Correlation
original_glcm_DifferenceAverage,0.901031525141638,0.89,0.92,0.9010318139801016,0.89,0.92,0.9011396426134866,0.89,0.92,0.9973281558950376,1.0,1.0,0.9973281645261588,1.0,1.0,0.9973313863040258,1.0,1.0,Original,glcm,DifferenceAverage
original_glcm_DifferenceEntropy,0.8972610081825954,0.88,0.91,0.8972612509256573,0.88,0.91,0.8973481782612855,0.88,0.91,0.9972150239762424,1.0,1.0,0.9972150312893656,1.0,1.0,0.9972176499027672,1.0,1.0,Original,glcm,DifferenceEntropy
original_glcm_DifferenceVariance,0.9200250893805528,0.91,0.93,0.9200252721167044,0.91,0.93,0.9201114696845047,0.91,0.93,0.9978843177943596,1.0,1.0,0.997884323037622,1.0,1.0,0.997886796084959,1.0,1.0,Original,glcm,DifferenceVariance
original_glcm_Id,0.9091266071179928,0.9,0.92,0.909126870481332,0.9,0.92,0.9092349089786091,0.9,0.92,0.9975679583423288,1.0,1.0,0.9975679660763896,1.0,1.0,0.9975711384216892,1.0,1.0,Original,glcm,Id
original_glcm_Idm,0.9110914630255764,0.9,0.92,0.9110917098581036,0.9,0.92,0.9111954279013076,0.9,0.92,0.99762553819562,1.0,1.0,0.9976255454138307,1.0,1.0,0.9976285781405232,1.0,1.0,Original,glcm,Idm
original_glcm_Idmn,0.904436543110445,0.89,0.92,0.904436821764594,0.89,0.92,0.9045449620915028,0.89,0.92,0.997429532505529,1.0,1.0,0.997429540771422,1.0,1.0,0.9974327482316262,1.0,1.0,Original,glcm,Idmn
original_glcm_Idn,0.901827206838012,0.89,0.92,0.9018274828613124,0.89,0.92,0.9019314538051484,0.89,0.92,0.9973519121893036,1.0,1.0,0.997351920423324,1.0,1.0,0.9973550216202,1.0,1.0,Original,glcm,Idn
original_glcm_Imc1,0.929035776761186,0.92,0.94,0.9290363085979952,0.92,0.94,0.9293218630594584,0.92,0.94,0.9981404202817288,1.0,1.0,0.9981404352548624,1.0,1.0,0.9981484722378162,1.0,1.0,Original,glcm,Imc1
original_glcm_Imc2,0.9538147236618288,0.95,0.96,0.953814787076372,0.95,0.96,0.953868485023058,0.95,0.96,0.9988203774621056,1.0,1.0,0.9988203791582068,1.0,1.0,0.9988218152978984,1.0,1.0,Original,glcm,Imc2
original_glcm_InverseVariance,0.9115449860183537,0.9,0.92,0.9115450908757392,0.9,0.92,0.9115893965848266,0.9,0.92,0.9976387943104126,1.0,1.0,0.9976387973738255,1.0,1.0,0.9976400917056728,1.0,1.0,Original,glcm,InverseVariance
original_glcm_JointAverage,0.885990692786473,0.87,0.9,0.8859906830837377,0.87,0.9,0.88598759161133,0.87,0.9,0.9968712823271332,1.0,1.0,0.9968712820275412,1.0,1.0,0.9968711865716248,1.0,1.0,Original,glcm,JointAverage
original_glcm_JointEnergy,0.9174862638480272,0.9,0.93,0.9174867528410364,0.9,0.93,0.9177097326775928,0.91,0.93,0.9978112748345244,1.0,1.0,0.997811288940926,1.0,1.0,0.9978177199070418,1.0,1.0,Original,glcm,JointEnergy
original_glcm_JointEntropy,0.8972510374072713,0.88,0.91,0.8972513331730525,0.88,0.91,0.8973572389640394,0.88,0.91,0.997214723583245,1.0,1.0,0.9972147324939764,1.0,1.0,0.997217922820467,1.0,1.0,Original,glcm,JointEntropy
original_glcm_MCC,0.9158519345170127,0.9,0.93,0.915852225696144,0.9,0.93,0.9159821788998362,0.9,0.93,0.997764046009902,1.0,1.0,0.9977640544390062,1.0,1.0,0.997767815826268,1.0,1.0,Original,glcm,MCC
original_glcm_MaximumProbability,0.8598011585921576,0.84,0.88,0.8598019039351051,0.84,0.88,0.8599893553204113,0.84,0.88,0.9960386907259786,1.0,1.0,0.9960387151225216,1.0,1.0,0.9960448494708476,1.0,1.0,Original,glcm,MaximumProbability
original_glcm_SumAverage,0.8859906927864732,0.87,0.9,0.885990683083738,0.87,0.9,0.8859875916113302,0.87,0.9,0.9968712823271332,1.0,1.0,0.9968712820275412,1.0,1.0,0.9968711865716248,1.0,1.0,Original,glcm,SumAverage
original_glcm_SumEntropy,0.9003981651100013,0.89,0.91,0.9003986138278154,0.89,0.91,0.9005649569591622,0.89,0.91,0.9973092167608156,1.0,1.0,0.9973092301878376,1.0,1.0,0.9973142067908576,1.0,1.0,Original,glcm,SumEntropy
original_glcm_SumSquares,0.9070531418304392,0.89,0.92,0.9070535570586749,0.89,0.92,0.9072197254842568,0.89,0.92,0.997506932437698,1.0,1.0,0.9975069446858118,1.0,1.0,0.9975118453305752,1.0,1.0,Original,glcm,SumSquares
original_glrlm_GrayLevelNonUniformity,0.9773330218026748,0.97,0.98,0.9773330400479846,0.97,0.98,0.9773652951475328,0.97,0.98,0.9994346445317006,1.0,1.0,0.9994346449970628,1.0,1.0,0.9994354676642826,1.0,1.0,Original,glrlm,GrayLevelNonUniformity
original_glrlm_GrayLevelNonUniformityNormalized,0.9163844521382536,0.9,0.93,0.916384758469956,0.9,0.93,0.9165224261068846,0.9,0.93,0.9977794527073444,1.0,1.0,0.997779461565058,1.0,1.0,0.9977834417009512,1.0,1.0,Original,glrlm,GrayLevelNonUniformityNormalized
original_glrlm_GrayLevelVariance,0.8958535321403508,0.88,0.91,0.8958538263849888,0.88,0.91,0.895957611562504,0.88,0.91,0.9971725561062468,1.0,1.0,0.9971725649980774,1.0,1.0,0.9971757009461876,1.0,1.0,Original,glrlm,GrayLevelVariance
original_glrlm_HighGrayLevelRunEmphasis,0.8796788010010064,0.86,0.9,0.8796787636405268,0.86,0.9,0.8796675648086236,0.86,0.9,0.9966750298872412,1.0,1.0,0.996675028717506,1.0,1.0,0.9966746780841858,1.0,1.0,Original,glrlm,HighGrayLevelRunEmphasis
original_glrlm_LongRunEmphasis,0.9118332413436736,0.9,0.92,0.9118339501645834,0.9,0.92,0.9121346093227036,0.9,0.92,0.9976472131120724,1.0,1.0,0.9976472338075512,1.0,1.0,0.9976560093447834,1.0,1.0,Original,glrlm,LongRunEmphasis
original_glrlm_LongRunHighGrayLevelEmphasis,0.9144164636361022,0.9,0.93,0.9144166319309048,0.9,0.93,0.914490361800592,0.9,0.93,0.997722428239318,1.0,1.0,0.9977224331260458,1.0,1.0,0.9977245738307648,1.0,1.0,Original,glrlm,LongRunHighGrayLevelEmphasis
original_glrlm_LongRunLowGrayLevelEmphasis,0.8526746582714703,0.83,0.87,0.8526748888908142,0.83,0.87,0.8527296173825282,0.83,0.87,0.995803532085036,1.0,1.0,0.9958035397567494,1.0,1.0,0.9958053602242384,1.0,1.0,Original,glrlm,LongRunLowGrayLevelEmphasis
original_glrlm_LowGrayLevelRunEmphasis,0.7768220098169187,0.75,0.8,0.7768217557720315,0.75,0.8,0.776785502762532,0.75,0.8,0.9930415357943954,0.99,0.99,0.9930415256688476,0.99,0.99,0.9930400806553502,0.99,0.99,Original,glrlm,LowGrayLevelRunEmphasis
original_glrlm_RunEntropy,0.9119418894934216,0.9,0.92,0.9119419902731264,0.9,0.92,0.9119847835130986,0.9,0.92,0.9976503849519902,1.0,1.0,0.9976503878937796,1.0,1.0,0.9976516369839832,1.0,1.0,Original,glrlm,RunEntropy
original_glrlm_RunLengthNonUniformity,0.9799195863607878,0.98,0.98,0.9799196006350176,0.98,0.98,0.9799481612127656,0.98,0.98,0.9995004472519058,1.0,1.0,0.9995004476141102,1.0,1.0,0.999501172310146,1.0,1.0,Original,glrlm,RunLengthNonUniformity
original_glrlm_RunLengthNonUniformityNormalized,0.9152270987861671,0.9,0.93,0.9152274976017106,0.9,0.93,0.915404065490072,0.9,0.93,0.9977459461303744,1.0,1.0,0.9977459576907046,1.0,1.0,0.997751074840743,1.0,1.0,Original,glrlm,RunLengthNonUniformityNormalized
original_glrlm_RunPercentage,0.9175191724290128,0.9,0.93,0.9175193550073693,0.9,0.93,0.9176026338713116,0.9,0.93,0.9978122241439816,1.0,1.0,0.9978122294106102,1.0,1.0,0.99781463144787,1.0,1.0,Original,glrlm,RunPercentage
original_glrlm_RunVariance,0.9068239602369468,0.89,0.92,0.9068253290147896,0.89,0.92,0.9073718387111004,0.89,0.92,0.9975001705327646,1.0,1.0,0.997500210927843,1.0,1.0,0.997516329927528,1.0,1.0,Original,glrlm,RunVariance
original_glrlm_ShortRunEmphasis,0.9116248105716348,0.9,0.92,0.9116252461292264,0.9,0.92,0.9118094943051588,0.9,0.92,0.9976411261897272,1.0,1.0,0.9976411389123878,1.0,1.0,0.9976465197505217,1.0,1.0,Original,glrlm,ShortRunEmphasis
original_glrlm_ShortRunHighGrayLevelEmphasis,0.8774367826886212,0.86,0.89,0.8774367005128482,0.86,0.89,0.8774125808429722,0.86,0.89,0.9966046591943476,1.0,1.0,0.9966046566086711,1.0,1.0,0.9966038976583604,1.0,1.0,Original,glrlm,ShortRunHighGrayLevelEmphasis
original_glrlm_ShortRunLowGrayLevelEmphasis,0.751211394664089,0.72,0.78,0.7512110891014079,0.72,0.78,0.751173262806468,0.72,0.78,0.9919870860230164,0.99,0.99,0.9919870730271771,0.99,0.99,0.9919854641638316,0.99,0.99,Original,glrlm,ShortRunLowGrayLevelEmphasis
