,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6,Filter,Class,Name
log-sigma-1-mm-3D_glszm_GrayLevelNonUniformity,0.5666574353880046,0.53,0.61,0.5666617026343752,0.53,0.61,0.566890578217706,0.53,0.61,0.9816894651071268,0.98,0.98,0.9816897774760396,0.98,0.98,0.9817065249168828,0.98,0.98,LoG (sigma=1mm),glszm,GrayLevelNonUniformity
log-sigma-1-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.5483942684222536,0.51,0.59,0.5486772170047081,0.51,0.59,0.5631432966874246,0.52,0.6,0.9803099823084916,0.98,0.98,0.9803320242804942,0.98,0.98,0.9814306859496204,0.98,0.98,LoG (sigma=1mm),glszm,GrayLevelNonUniformityNormalized
log-sigma-1-mm-3D_glszm_GrayLevelVariance,0.8339227088511763,0.81,0.86,0.833931876097877,0.81,0.86,0.8358234664190887,0.81,0.86,0.995166116536523,0.99,1.0,0.9951664349489344,0.99,1.0,0.9952319918082664,0.99,1.0,LoG (sigma=1mm),glszm,GrayLevelVariance
log-sigma-1-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.8108878508163307,0.79,0.84,0.8109247632009953,0.79,0.84,0.8174667038839701,0.79,0.84,0.9943439736263968,0.99,1.0,0.9943453273212358,0.99,1.0,0.9945833676489972,0.99,1.0,LoG (sigma=1mm),glszm,HighGrayLevelZoneEmphasis
log-sigma-1-mm-3D_glszm_LargeAreaEmphasis,0.8495941499645673,0.83,0.87,0.8497232293221992,0.82,0.87,0.8807124059759007,0.86,0.9,0.9957006958587156,0.99,1.0,0.9957050194381414,0.99,1.0,0.9967073545300628,1.0,1.0,LoG (sigma=1mm),glszm,LargeAreaEmphasis
log-sigma-1-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.7766652654846928,0.75,0.8,0.7769878016507976,0.74,0.81,0.8258899794283108,0.8,0.85,0.9930352871662628,0.99,0.99,0.9930481424439948,0.99,0.99,0.9948844731757016,0.99,1.0,LoG (sigma=1mm),glszm,LargeAreaHighGrayLevelEmphasis
log-sigma-1-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.8768372932528457,0.86,0.89,0.8768748128665423,0.86,0.89,0.887965516254424,0.87,0.9,0.9965857836089556,1.0,1.0,0.9965869656914436,1.0,1.0,0.9969321271792057,1.0,1.0,LoG (sigma=1mm),glszm,LargeAreaLowGrayLevelEmphasis
log-sigma-1-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.7131862685801837,0.68,0.75,0.7131965161283248,0.68,0.75,0.7142428005419561,0.68,0.75,0.9902865393320216,0.99,0.99,0.990287021219773,0.99,0.99,0.9903361520988588,0.99,0.99,LoG (sigma=1mm),glszm,LowGrayLevelZoneEmphasis
log-sigma-1-mm-3D_glszm_SizeZoneNonUniformity,0.8750771902722162,0.86,0.89,0.8751069398384791,0.86,0.89,0.8837356348485738,0.87,0.9,0.9965302195445592,1.0,1.0,0.9965311605034416,1.0,1.0,0.996801479971378,1.0,1.0,LoG (sigma=1mm),glszm,SizeZoneNonUniformity
log-sigma-1-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.3804976137350554,0.34,0.42,0.3807326190305324,0.34,0.42,0.3867477672997269,0.35,0.43,0.9618060399567656,0.96,0.97,0.9618426426713508,0.96,0.97,0.9627652970214006,0.96,0.97,LoG (sigma=1mm),glszm,SizeZoneNonUniformityNormalized
