,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6,Filter,Class,Name
moment_1_1_2,0.4746997597274632,0.43,0.52,0.474705023691124,0.43,0.52,0.4749001390407718,0.43,0.52,0.9737192068813963,0.97,0.98,0.9737197470805512,0.97,0.98,0.9737397622069676,0.97,0.98,Original,Moment,x2-y1-z1
moment_1_1_3,0.3254230064910692,0.29,0.37,0.3254171020345881,0.29,0.37,0.3253003628098388,0.29,0.37,0.9518740935231572,0.94,0.96,0.9518728613665932,0.94,0.96,0.9518484914076136,0.94,0.96,Original,Moment,x3-y1-z1
moment_1_2_0,0.6564590571731794,0.62,0.69,0.6564582577649735,0.62,0.69,0.6563956339329409,0.62,0.69,0.9873968604859442,0.99,0.99,0.9873968163742792,0.99,0.99,0.9873933604445112,0.99,0.99,Original,Moment,x0-y2-z1
moment_1_2_1,0.7679390423225215,0.74,0.8,0.7679383886379492,0.74,0.8,0.767849708525415,0.74,0.8,0.9926835183636004,0.99,0.99,0.9926834917224568,0.99,0.99,0.9926798771261972,0.99,0.99,Original,Moment,x1-y2-z1
moment_1_2_2,0.7807533850933064,0.75,0.81,0.7807528580789668,0.75,0.81,0.7806759194973575,0.75,0.81,0.993197465286438,0.99,0.99,0.993197444485529,0.99,0.99,0.993194407478398,0.99,0.99,Original,Moment,x2-y2-z1
moment_1_2_3,0.930369061056685,0.92,0.94,0.9303689998910272,0.92,0.94,0.9303354934077316,0.92,0.94,0.9981779047024428,1.0,1.0,0.99817790298521,1.0,1.0,0.9981769622537584,1.0,1.0,Original,Moment,x3-y2-z1
moment_1_3_0,0.0316162313660376,0.02,0.04,0.0316284100113813,0.02,0.04,0.0316447268752548,0.02,0.04,0.5723912801732037,0.5,0.64,0.5724886193193518,0.5,0.64,0.5726189680209358,0.5,0.64,Original,Moment,x0-y3-z1
moment_1_3_1,0.0509450277607203,0.04,0.06,0.0509383806459982,0.04,0.06,0.050923757322015,0.04,0.06,0.6875848886284356,0.63,0.74,0.6875553536694969,0.63,0.74,0.687490360015814,0.63,0.74,Original,Moment,x1-y3-z1
moment_1_3_2,0.1314438692369786,0.11,0.16,0.1314632544127831,0.11,0.16,0.1315836630615678,0.11,0.16,0.8612032329871383,0.84,0.88,0.8612235267560278,0.84,0.88,0.8613494664834581,0.84,0.88,Original,Moment,x2-y3-z1
moment_1_3_3,0.0717267003970385,0.06,0.09,0.0717074554977638,0.06,0.09,0.0716465552646735,0.06,0.09,0.7600783196902624,0.72,0.8,0.7600255999591208,0.72,0.8,0.7598586307103851,0.72,0.8,Original,Moment,x3-y3-z1
moment_2_0_0,0.9917867516558416,0.99,0.99,0.9917867492523929,0.99,0.99,0.9917748500762134,0.99,0.99,0.9997980587293552,1.0,1.0,0.9997980586697838,1.0,1.0,0.9997977637349318,1.0,1.0,Original,Moment,x0-y0-z2
moment_2_0_1,0.9613958282278672,0.96,0.97,0.9613958178781028,0.96,0.97,0.9613852502493492,0.96,0.97,0.9990215851824544,1.0,1.0,0.9990215849098756,1.0,1.0,0.9990213065903792,1.0,1.0,Original,Moment,x1-y0-z2
moment_2_0_2,0.9888136051881496,0.99,0.99,0.9888136032679138,0.99,0.99,0.9888066440627592,0.99,0.99,0.9997241506043466,1.0,1.0,0.9997241505564723,1.0,1.0,0.9997239770521628,1.0,1.0,Original,Moment,x2-y0-z2
moment_2_0_3,0.9885608059129768,0.99,0.99,0.9885608041230478,0.99,0.99,0.9885544621437906,0.99,0.99,0.9997178463783256,1.0,1.0,0.999717846333678,1.0,1.0,0.9997176881390272,1.0,1.0,Original,Moment,x3-y0-z2
moment_2_1_0,0.0535052848950464,0.04,0.07,0.0534934763106539,0.04,0.07,0.053466127261685,0.04,0.07,0.6985888541229036,0.65,0.75,0.6985397487227621,0.65,0.75,0.6984259623322499,0.65,0.75,Original,Moment,x0-y1-z2
moment_2_1_1,0.0410015164383607,0.03,0.05,0.0410084840742109,0.03,0.05,0.0410207036037795,0.03,0.05,0.6367513447750649,0.58,0.69,0.6367923270107103,0.58,0.69,0.6368641789432093,0.58,0.69,Original,Moment,x1-y1-z2
moment_2_1_2,0.0777018256421875,0.06,0.09,0.0776958806000161,0.06,0.09,0.0776753524090231,0.06,0.09,0.7754912902982143,0.74,0.81,0.7754768462933268,0.74,0.81,0.7754269583812203,0.74,0.81,Original,Moment,x2-y1-z2
moment_2_1_3,0.0705315591421011,0.06,0.09,0.0705543152199803,0.06,0.09,0.0706252087111845,0.06,0.09,0.7567640345230483,0.72,0.79,0.756827914406509,0.72,0.79,0.7570267286694785,0.72,0.79,Original,Moment,x3-y1-z2
moment_2_2_0,0.6926587823903929,0.66,0.73,0.6926583133941062,0.66,0.73,0.6926149798376764,0.66,0.73,0.9892936160905776,0.99,0.99,0.9892935927561284,0.99,0.99,0.9892914366060246,0.99,0.99,Original,Moment,x0-y2-z2
moment_2_2_1,0.6789449428947116,0.64,0.72,0.6789447640749304,0.64,0.72,0.6789292600511257,0.64,0.72,0.9885980054141356,0.99,0.99,0.988597996167108,0.99,0.99,0.988597194413912,0.99,0.99,Original,Moment,x1-y2-z2
moment_2_2_2,0.9180020725277755,0.91,0.93,0.9180019834143588,0.91,0.93,0.9179610810563354,0.91,0.93,0.997826146679285,1.0,1.0,0.9978261441113636,1.0,1.0,0.9978249654044108,1.0,1.0,Original,Moment,x2-y2-z2
moment_2_2_3,0.9212685605485532,0.91,0.93,0.9212686097037476,0.91,0.93,0.9212921928897292,0.91,0.93,0.9979199499292832,1.0,1.0,0.9979199513359928,1.0,1.0,0.99792062621615,1.0,1.0,Original,Moment,x3-y2-z2
moment_2_3_0,-0.0006614148349121,-0.0,0.0,-0.0006716627192303,-0.0,0.0,-0.0006713808161348,-0.0,0.0,-0.0278549554621356,-0.2,0.13,-0.0282984520999422,-0.2,0.13,-0.0282862472110446,-0.2,0.13,Original,Moment,x0-y3-z2
moment_2_3_1,-4.157814681342965e-05,-0.0,0.0,-3.738673148254249e-05,-0.0,0.0,-3.739315715571399e-05,-0.0,0.0,-0.0017075438797555,-0.17,0.15,-0.0015351517630542,-0.17,0.15,-0.0015354160054639,-0.17,0.15,Original,Moment,x1-y3-z2
moment_2_3_2,0.0119499539643173,0.01,0.02,0.0119379091443954,0.01,0.02,0.0119319454348436,0.01,0.02,0.3314943998375171,0.22,0.44,0.3312682595317385,0.22,0.44,0.3311562368760578,0.22,0.44,Original,Moment,x2-y3-z2
moment_2_3_3,0.000198018948203,-0.0,0.0,0.0002219036737026,-0.0,0.0,0.0002221212342768,-0.0,0.0,0.0080549753663321,-0.16,0.16,0.0090180054799897,-0.16,0.16,0.0090267691213983,-0.16,0.16,Original,Moment,x3-y3-z2
moment_3_0_0,0.962599250760557,0.96,0.97,0.962599269604678,0.96,0.97,0.9626191549868456,0.96,0.97,0.9990532407449012,1.0,1.0,0.9990532412399846,1.0,1.0,0.9990537636693152,1.0,1.0,Original,Moment,x0-y0-z3
moment_3_0_1,0.980490970240848,0.98,0.98,0.9804909821358953,0.98,0.98,0.9805154935758494,0.98,0.98,0.9995149377185736,1.0,1.0,0.999514938020064,1.0,1.0,0.9995155592691352,1.0,1.0,Original,Moment,x1-y0-z3
moment_3_0_2,0.9693514938626012,0.96,0.97,0.9693514965739276,0.96,0.97,0.969355012495658,0.96,0.97,0.999229434804328,1.0,1.0,0.9992294348745974,1.0,1.0,0.999229525996268,1.0,1.0,Original,Moment,x2-y0-z3
moment_3_0_3,0.9694014222189724,0.96,0.97,0.9694014306497156,0.96,0.97,0.9694123817317952,0.96,0.97,0.999230728730437,1.0,1.0,0.9992307289489142,1.0,1.0,0.9992310127360106,1.0,1.0,Original,Moment,x3-y0-z3
moment_3_1_0,-0.0165795397094804,-0.02,-0.02,-0.0165709683348049,-0.02,-0.02,-0.0165766988150339,-0.02,-0.02,-2.018182809002818,-2.53,-1.55,-2.015088235260764,-2.53,-1.55,-2.01715644642216,-2.53,-1.55,Original,Moment,x0-y1-z3
moment_3_1_1,-0.0153750053895463,-0.02,-0.01,-0.01537826839064,-0.02,-0.01,-0.0153762424588183,-0.02,-0.01,-1.6373391531221135,-2.08,-1.23,-1.6382420275651903,-2.09,-1.23,-1.6376813789049052,-2.09,-1.23,Original,Moment,x1-y1-z3
moment_3_1_2,-0.009910567004672,-0.01,-0.01,-0.0099001196030489,-0.01,-0.01,-0.0099043204214993,-0.01,-0.01,-0.6732082764762634,-0.96,-0.41,-0.6720333092952272,-0.96,-0.41,-0.6725055589080761,-0.96,-0.41,Original,Moment,x2-y1-z3
moment_3_1_3,-0.0057947447139794,-0.01,-0.0,-0.0058116954382679,-0.01,-0.0,-0.0058076824709916,-0.01,-0.0,-0.3092702098134772,-0.53,-0.11,-0.3104488885435366,-0.53,-0.11,-0.3101696563621857,-0.53,-0.11,Original,Moment,x3-y1-z3
moment_3_2_0,0.6644586971405223,0.63,0.7,0.6644584655431365,0.63,0.7,0.6644396625463311,0.63,0.7,0.9878331615711312,0.99,0.99,0.9878331490863436,0.99,0.99,0.9878321354397304,0.99,0.99,Original,Moment,x0-y2-z3
moment_3_2_1,0.6629222208447365,0.63,0.7,0.6629221890524497,0.63,0.7,0.6629196255344253,0.63,0.7,0.9877501493286064,0.99,0.99,0.9877501476071064,0.99,0.99,0.9877500087963144,0.99,0.99,Original,Moment,x1-y2-z3
moment_3_2_2,0.6683170965431613,0.63,0.71,0.6683168962552581,0.63,0.71,0.6683003504777786,0.63,0.71,0.988039999838797,0.99,0.99,0.988039989161658,0.99,0.99,0.9880391071022236,0.99,0.99,Original,Moment,x2-y2-z3
moment_3_2_3,0.7029829497169499,0.67,0.74,0.7029826104592493,0.67,0.74,0.7029496907163753,0.67,0.74,0.9897999997665284,0.99,0.99,0.9897999833624672,0.99,0.99,0.9897983915278782,0.99,0.99,Original,Moment,x3-y2-z3
moment_3_3_0,-0.0042601562219687,-0.01,-0.0,-0.0042536623422941,-0.01,-0.0,-0.004254790370682,-0.01,-0.0,-0.2105445043006214,-0.42,-0.02,-0.2101577624343764,-0.42,-0.02,-0.2102249245910578,-0.42,-0.02,Original,Moment,x0-y3-z3
moment_3_3_1,-0.0006390617879517,-0.0,0.0,-0.0006406321226901,-0.0,0.0,-0.0006405909054023,-0.0,0.0,-0.0268888795229825,-0.2,0.13,-0.0269566898888654,-0.2,0.13,-0.0269549099277217,-0.2,0.13,Original,Moment,x1-y3-z3
moment_3_3_2,0.0026680609811169,-0.0,0.01,0.0026732996400821,-0.0,0.01,0.002673875484864,-0.0,0.01,0.0988418562295094,-0.05,0.24,0.0990171814247743,-0.05,0.24,0.0990364495021561,-0.05,0.24,Original,Moment,x2-y3-z3
moment_3_3_3,0.0046005688162418,0.0,0.01,0.0045914843302396,0.0,0.01,0.0045897669065117,0.0,0.01,0.1593071763560304,0.02,0.29,0.1590414115755012,0.02,0.29,0.1589911503540521,0.02,0.29,Original,Moment,x3-y3-z3
gradient_0,0.9215697205675571,0.91,0.93,0.9215700271416536,0.91,0.93,0.9217177451691416,0.91,0.93,0.9979285657007542,1.0,1.0,0.9979285744686216,1.0,1.0,0.9979327984705496,1.0,1.0,Original,Gradient,z
gradient_1,0.2957421264639251,0.26,0.33,0.2957540622674256,0.26,0.33,0.2959597159107596,0.26,0.33,0.9451071581007864,0.94,0.95,0.945110131049142,0.94,0.95,0.9451613201604252,0.94,0.95,Original,Gradient,y
gradient_2,0.9855792859491198,0.98,0.99,0.9855792885966576,0.98,0.99,0.9855867074039734,0.98,0.99,0.9996432562429444,1.0,1.0,0.9996432563093746,1.0,1.0,0.9996434424554956,1.0,1.0,Original,Gradient,x
AbsolutemGy_At_RelativeVolume_0.00,0.9819090742731575,0.98,0.98,0.9819090838334332,0.98,0.98,0.981930359058233,0.98,0.98,0.9995508302043086,1.0,1.0,0.9995508304459404,1.0,1.0,0.9995513681562184,1.0,1.0,Original,DVH,DC100%[mGy]
AbsolutemGy_At_RelativeVolume_0.05,0.9877466953188644,0.99,0.99,0.9877467073702172,0.99,0.99,0.98778653913233,0.99,0.99,0.9996975229655704,1.0,1.0,0.9996975232666616,1.0,1.0,0.999698518384779,1.0,1.0,Original,DVH,DC95%[mGy]
AbsolutemGy_At_RelativeVolume_0.10,0.9871879389840824,0.99,0.99,0.9871879528691344,0.99,0.99,0.9872318192204628,0.99,0.99,0.9996835552834986,1.0,1.0,0.999683555630786,1.0,1.0,0.9996846527510524,1.0,1.0,Original,DVH,DC90%[mGy]
AbsolutemGy_At_RelativeVolume_0.15,0.986697380416525,0.98,0.99,0.986697395222378,0.98,0.99,0.9867424233528757,0.98,0.99,0.9996712796770808,1.0,1.0,0.9996712800477584,1.0,1.0,0.999672407315807,1.0,1.0,Original,DVH,DC85%[mGy]
AbsolutemGy_At_RelativeVolume_0.20,0.9868257275762392,0.98,0.99,0.98682574349268,0.98,0.99,0.9868746273151944,0.98,0.99,0.9996744925518122,1.0,1.0,0.9996744929501932,1.0,1.0,0.9996757164294248,1.0,1.0,Original,DVH,DC80%[mGy]
AbsolutemGy_At_RelativeVolume_0.25,0.9871153102926732,0.98,0.99,0.9871153267680364,0.98,0.99,0.98716707977015,0.99,0.99,0.9996817385930168,1.0,1.0,0.9996817390051512,1.0,1.0,0.9996830335503314,1.0,1.0,Original,DVH,DC75%[mGy]
