,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6
wavelet-HHL_glcm_DifferenceAverage,0.44967737162740284,0.41,0.49,0.4497870408447492,0.41,0.49,0.4534923220089084,0.41,0.5,0.9710159646706009,0.97,0.98,0.9710284342335721,0.97,0.98,0.9714463716106965,0.97,0.98
wavelet-HHL_glcm_DifferenceEntropy,0.45651374436984876,0.42,0.5,0.4566151548397386,0.42,0.5,0.46013532503853893,0.42,0.5,0.9717824121333543,0.97,0.98,0.9717936178035615,0.97,0.98,0.9721796864143745,0.97,0.98
wavelet-HHL_glcm_DifferenceVariance,0.49586503497328965,0.46,0.54,0.4958743840532478,0.46,0.54,0.4962517023982281,0.46,0.54,0.9758029944814514,0.97,0.98,0.975803877509591,0.97,0.98,0.975839489094996,0.97,0.98
wavelet-HHL_glcm_Id,0.3274557546637564,0.29,0.37,0.32778422889461545,0.29,0.37,0.33448210622681224,0.3,0.38,0.9522958388083453,0.94,0.96,0.9523635330006354,0.94,0.96,0.9537168970134159,0.95,0.96
wavelet-HHL_glcm_Idm,0.3176369132131123,0.28,0.36,0.3179842871586298,0.28,0.36,0.32476275898445517,0.29,0.36,0.9502123778500717,0.94,0.96,0.9502881226359258,0.94,0.96,0.9517360536770616,0.94,0.96
wavelet-HHL_glcm_Idmn,0.5050018976190985,0.46,0.55,0.5050274086192433,0.46,0.55,0.5060968116466437,0.47,0.55,0.9766511165052165,0.97,0.98,0.9766534436082187,0.97,0.98,0.9767507930041026,0.97,0.98
wavelet-HHL_glcm_Idn,0.4285545776471928,0.39,0.47,0.42869701481321265,0.39,0.47,0.43312334714051903,0.39,0.48,0.9685018380082739,0.96,0.97,0.9685195754802357,0.96,0.97,0.9690652825053684,0.96,0.97
wavelet-HHL_glcm_Imc1,0.12984876507738882,0.11,0.15,0.13066375139946357,0.11,0.15,0.13588170763108698,0.12,0.16,0.8595159550533491,0.84,0.88,0.8603823560744001,0.84,0.88,0.8657214817811362,0.84,0.89
wavelet-HHL_glcm_Imc2,0.18901464595362522,0.16,0.22,0.18967272409536706,0.16,0.22,0.19620023855399585,0.17,0.23,0.9052652038797725,0.89,0.92,0.9056322502871104,0.89,0.92,0.9091547361453463,0.89,0.92
wavelet-HHL_glcm_InverseVariance,0.3634231687783382,0.33,0.41,0.3635333376499129,0.33,0.41,0.3661312755062546,0.33,0.41,0.9590281371973889,0.95,0.97,0.9590468435604634,0.95,0.97,0.9594849118321396,0.95,0.97
wavelet-HHL_glcm_JointAverage,0.1670863325975188,0.14,0.2,0.16707643326687155,0.14,0.19,0.16699505783301288,0.14,0.19,0.8915964431020065,0.87,0.91,0.8915895676832122,0.87,0.91,0.8915330228328728,0.87,0.91
wavelet-HHL_glcm_JointEnergy,0.37602921681135093,0.34,0.42,0.3762634090159185,0.34,0.42,0.38214397398430033,0.34,0.42,0.9611019124647612,0.95,0.97,0.9611392057580225,0.95,0.97,0.9620615761563792,0.96,0.97
wavelet-HHL_glcm_JointEntropy,0.33956624971182164,0.3,0.38,0.33985721754084236,0.3,0.38,0.34610912617072676,0.31,0.39,0.9547109921166433,0.95,0.96,0.9547670464826928,0.95,0.96,0.9559502294799094,0.95,0.96
wavelet-HHL_glcm_MCC,0.26261699477817785,0.23,0.3,0.2628317746021427,0.23,0.3,0.26600850039843704,0.23,0.3,0.9359058210563562,0.93,0.95,0.935972303056463,0.93,0.95,0.9369441529545862,0.93,0.95
wavelet-HHL_glcm_MaximumProbability,0.24587113611496705,0.22,0.28,0.24629495773601315,0.22,0.28,0.2521039534731476,0.22,0.29,0.9303978199097453,0.92,0.94,0.9305456090528055,0.92,0.94,0.9325256787973502,0.92,0.94
wavelet-HHL_glcm_SumAverage,0.1670863325975188,0.14,0.2,0.16707643326687155,0.14,0.19,0.16699505783301288,0.14,0.19,0.8915964431020065,0.87,0.91,0.8915895676832122,0.87,0.91,0.8915330228328728,0.87,0.91
wavelet-HHL_glcm_SumEntropy,0.3782277997754845,0.34,0.42,0.37847126940077147,0.34,0.42,0.38464658596343443,0.35,0.43,0.9614503141542625,0.95,0.97,0.9614886624069718,0.95,0.97,0.9624460794303134,0.96,0.97
wavelet-HHL_glcm_SumSquares,0.4714977126919535,0.43,0.51,0.47156036679131696,0.43,0.52,0.47386361019378176,0.43,0.52,0.9733884832800856,0.97,0.98,0.9733949954250596,0.97,0.98,0.9736332547085443,0.97,0.98
wavelet-HHL_glrlm_GrayLevelNonUniformity,0.8383178735115838,0.82,0.86,0.8383270571505161,0.82,0.86,0.8402839304289534,0.82,0.86,0.99531800129914,0.99,1.0,0.9953183170413105,0.99,1.0,0.99538544332229,0.99,1.0
