,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6,Filter,Class,Name
original_firstorder_Median,0.9950470478548836,0.99,1.0,0.9950470482209904,0.99,1.0,0.9950500638123456,0.99,1.0,0.9998786097132596,1.0,1.0,0.999878609722276,1.0,1.0,0.9998786839890692,1.0,1.0,Original,firstorder,Median
original_firstorder_Minimum,0.9994018726021888,1.0,1.0,0.9994018725954986,1.0,1.0,0.9994014142750792,1.0,1.0,0.9999854030089702,1.0,1.0,0.9999854030088068,1.0,1.0,0.9999853918171974,1.0,1.0,Original,firstorder,Minimum
original_firstorder_Range,0.9000391937545218,0.89,0.91,0.9000394168006479,0.89,0.91,0.900121764231472,0.89,0.91,0.9972984710561352,1.0,1.0,0.9972984777355468,1.0,1.0,0.9973009435181892,1.0,1.0,Original,firstorder,Range
original_firstorder_RobustMeanAbsoluteDeviation,0.9987721721215148,1.0,1.0,0.9987721721475866,1.0,1.0,0.998773041681378,1.0,1.0,0.9999700170625868,1.0,1.0,0.9999700170632244,1.0,1.0,0.9999700383222484,1.0,1.0,Original,firstorder,RobustMeanAbsoluteDeviation
original_firstorder_RootMeanSquared,0.999497319304722,1.0,1.0,0.9994973193112692,1.0,1.0,0.9994978530677596,1.0,1.0,0.9999877334794878,1.0,1.0,0.9999877334796476,1.0,1.0,0.9999877465108704,1.0,1.0,Original,firstorder,RootMeanSquared
original_firstorder_Skewness,0.9360484218759336,0.93,0.95,0.9360486745608424,0.93,0.95,0.9362003379264172,0.93,0.95,0.9983364111352674,1.0,1.0,0.9983364181458244,1.0,1.0,0.998340625269358,1.0,1.0,Original,firstorder,Skewness
original_firstorder_TotalEnergy,0.9999478301453129,1.0,1.0,0.9999478301452844,1.0,1.0,0.99994780771882,1.0,1.0,0.9999987274997528,1.0,1.0,0.9999987274997522,1.0,1.0,0.9999987269527096,1.0,1.0,Original,firstorder,TotalEnergy
original_firstorder_Uniformity,0.9227364834065808,0.91,0.93,0.9227364327088952,0.91,0.93,0.9227116091810048,0.91,0.93,0.997961893470754,1.0,1.0,0.9979618920243926,1.0,1.0,0.9979611838118722,1.0,1.0,Original,firstorder,Uniformity
original_firstorder_Variance,0.9994637488768398,1.0,1.0,0.9994637488826256,1.0,1.0,0.999464191030437,1.0,1.0,0.9999869138580124,1.0,1.0,0.9999869138581536,1.0,1.0,0.9999869246535346,1.0,1.0,Original,firstorder,Variance
original_glcm_Autocorrelation,0.8169776577784246,0.79,0.84,0.8169800930111074,0.79,0.84,0.8174260250457444,0.79,0.84,0.994565700748388,0.99,1.0,0.9945657887725596,0.99,1.0,0.9945818988989468,0.99,1.0,Original,glcm,Autocorrelation
original_glcm_ClusterProminence,0.9599905084319486,0.95,0.97,0.95999052422678,0.95,0.97,0.9600060627520745,0.95,0.97,0.9989845208855934,1.0,1.0,0.998984521302765,1.0,1.0,0.998984931698385,1.0,1.0,Original,glcm,ClusterProminence
original_glcm_ClusterShade,0.9667521952509308,0.96,0.97,0.9667522010612448,0.96,0.97,0.9667591279589968,0.96,0.97,0.999161892332876,1.0,1.0,0.999161892484252,1.0,1.0,0.9991620729493708,1.0,1.0,Original,glcm,ClusterShade
original_glcm_ClusterTendency,0.978384500206045,0.97,0.98,0.97838449683998,0.97,0.98,0.9783782501801468,0.97,0.98,0.9994614352775651,1.0,1.0,0.9994614351918908,1.0,1.0,0.999461276198284,1.0,1.0,Original,glcm,ClusterTendency
original_glcm_Contrast,0.9664919484003192,0.96,0.97,0.9664919469484672,0.96,0.97,0.9664902300108186,0.96,0.97,0.9991551103452292,1.0,1.0,0.9991551103073842,1.0,1.0,0.999155065552466,1.0,1.0,Original,glcm,Contrast
original_glcm_Correlation,0.98869682756739,0.99,0.99,0.988696841093724,0.99,0.99,0.9887453529704214,0.99,0.99,0.999721238832824,1.0,1.0,0.999721239170133,1.0,1.0,0.9997224488626112,1.0,1.0,Original,glcm,Correlation
original_glcm_DifferenceAverage,0.9688731197811165,0.96,0.97,0.9688731270764848,0.96,0.97,0.9688824374388064,0.96,0.97,0.9992170308362466,1.0,1.0,0.9992170310255024,1.0,1.0,0.9992172725518376,1.0,1.0,Original,glcm,DifferenceAverage
original_glcm_DifferenceEntropy,0.9589591749276222,0.95,0.97,0.9589591775738244,0.95,0.97,0.9589617126562556,0.95,0.97,0.9989572528485392,1.0,1.0,0.9989572529185772,1.0,1.0,0.9989573200152028,1.0,1.0,Original,glcm,DifferenceEntropy
original_glcm_DifferenceVariance,0.9665480655269356,0.96,0.97,0.966548067573098,0.96,0.97,0.9665504915429968,0.96,0.97,0.9991565730488494,1.0,1.0,0.99915657310218,1.0,1.0,0.9991566362796878,1.0,1.0,Original,glcm,DifferenceVariance
original_glcm_Id,0.94470451355681,0.94,0.95,0.9447045399679076,0.94,0.95,0.9447230405388328,0.94,0.95,0.9985744243305528,1.0,1.0,0.9985744250502858,1.0,1.0,0.998574929202712,1.0,1.0,Original,glcm,Id
original_glcm_Idm,0.947787445219104,0.94,0.96,0.9477874645221328,0.94,0.96,0.9478018310534716,0.94,0.96,0.9986581715502832,1.0,1.0,0.9986581720729842,1.0,1.0,0.9986585610943496,1.0,1.0,Original,glcm,Idm
original_glcm_Idmn,0.9699442036701864,0.97,0.97,0.9699442019752778,0.97,0.97,0.9699419593965972,0.97,0.97,0.9992447868880752,1.0,1.0,0.9992447868442008,1.0,1.0,0.9992447287924808,1.0,1.0,Original,glcm,Idmn
original_glcm_Idn,0.967946768529954,0.96,0.97,0.967946778012216,0.96,0.97,0.967958518354055,0.96,0.97,0.9991929770938904,1.0,1.0,0.9991929773403376,1.0,1.0,0.999193282472186,1.0,1.0,Original,glcm,Idn
original_glcm_Imc1,0.9860251435634668,0.98,0.99,0.9860251452734046,0.98,0.99,0.9860300918753916,0.98,0.99,0.9996544384547332,1.0,1.0,0.9996544384976,1.0,1.0,0.9996545625042008,1.0,1.0,Original,glcm,Imc1
original_glcm_Imc2,0.985427820221691,0.98,0.99,0.9854278357145728,0.98,0.99,0.9854707928480918,0.98,0.99,0.9996394552018788,1.0,1.0,0.999639455590732,1.0,1.0,0.9996405337181752,1.0,1.0,Original,glcm,Imc2
original_glcm_InverseVariance,0.9117099480498362,0.9,0.92,0.9117099553101384,0.9,0.92,0.9117130291762132,0.9,0.92,0.997643612835169,1.0,1.0,0.9976436130472044,1.0,1.0,0.9976437028184226,1.0,1.0,Original,glcm,InverseVariance
original_glcm_JointAverage,0.8344966307835681,0.81,0.86,0.8344982009970586,0.81,0.86,0.8348229367410837,0.81,0.86,0.9951860378712146,0.99,1.0,0.995186092338211,0.99,1.0,0.995197352379172,0.99,1.0,Original,glcm,JointAverage
original_glcm_JointEnergy,0.86041806795453,0.84,0.88,0.8604179219262531,0.84,0.88,0.860381017162347,0.84,0.88,0.9960588693325424,1.0,1.0,0.9960588645594026,1.0,1.0,0.9960576582247852,1.0,1.0,Original,glcm,JointEnergy
original_glcm_JointEntropy,0.9539472130862956,0.95,0.96,0.9539472047745374,0.95,0.96,0.9539401457943576,0.95,0.96,0.998823920577686,1.0,1.0,0.9988239203554375,1.0,1.0,0.998823731603931,1.0,1.0,Original,glcm,JointEntropy
original_glcm_MCC,0.9529526632530768,0.95,0.96,0.9529527973562116,0.95,0.96,0.9530641780426002,0.95,0.96,0.9987973002550444,1.0,1.0,0.998797303848126,1.0,1.0,0.9988002877773487,1.0,1.0,Original,glcm,MCC
